nan_loss_ks_p,nan_loss_cosine_similarity,nan_loss_euclidean_distance,nan_loss_manhatttan_distance,nan_loss_mmd_rbf,test_not_well_ks_p,test_not_well_cosine_similarity,test_not_well_euclidean_distance,test_not_well_manhatttan_distance,test_not_well_mmd_rbf,test_turn_bad_ks_p,test_turn_bad_cosine_similarity,test_turn_bad_euclidean_distance,test_turn_bad_manhatttan_distance,test_turn_bad_mmd_rbf,sc_accuracy_ks_p,sc_accuracy_cosine_similarity,sc_accuracy_euclidean_distance,sc_accuracy_manhatttan_distance,sc_accuracy_mmd_rbf,died_relu_ks_p,died_relu_cosine_similarity,died_relu_euclidean_distance,died_relu_manhatttan_distance,died_relu_mmd_rbf,vanish_gradient_ks_p,vanish_gradient_cosine_similarity,vanish_gradient_euclidean_distance,vanish_gradient_manhatttan_distance,vanish_gradient_mmd_rbf,explode_gradient_ks_p,explode_gradient_cosine_similarity,explode_gradient_euclidean_distance,explode_gradient_manhatttan_distance,explode_gradient_mmd_rbf,nan_gradient_ks_p,nan_gradient_cosine_similarity,nan_gradient_euclidean_distance,nan_gradient_manhatttan_distance,nan_gradient_mmd_rbf,large_weight_ks_p,large_weight_cosine_similarity,large_weight_euclidean_distance,large_weight_manhatttan_distance,large_weight_mmd_rbf,nan_weight_ks_p,nan_weight_cosine_similarity,nan_weight_euclidean_distance,nan_weight_manhatttan_distance,nan_weight_mmd_rbf,weight_change_little_ks_p,weight_change_little_cosine_similarity,weight_change_little_euclidean_distance,weight_change_little_manhatttan_distance,weight_change_little_mmd_rbf,decrease_acc_ks_p,decrease_acc_cosine_similarity,decrease_acc_euclidean_distance,decrease_acc_manhatttan_distance,decrease_acc_mmd_rbf,increase_loss_ks_p,increase_loss_cosine_similarity,increase_loss_euclidean_distance,increase_loss_manhatttan_distance,increase_loss_mmd_rbf,cons_mean_weight_ks_p,cons_mean_weight_cosine_similarity,cons_mean_weight_euclidean_distance,cons_mean_weight_manhatttan_distance,cons_mean_weight_mmd_rbf,cons_std_weight_ks_p,cons_std_weight_cosine_similarity,cons_std_weight_euclidean_distance,cons_std_weight_manhatttan_distance,cons_std_weight_mmd_rbf,nan_acc_ks_p,nan_acc_cosine_similarity,nan_acc_euclidean_distance,nan_acc_manhatttan_distance,nan_acc_mmd_rbf,loss_ks_p,loss_cosine_similarity,loss_euclidean_distance,loss_manhatttan_distance,loss_mmd_rbf,acc_ks_p,acc_cosine_similarity,acc_euclidean_distance,acc_manhatttan_distance,acc_mmd_rbf,val_loss_ks_p,val_loss_cosine_similarity,val_loss_euclidean_distance,val_loss_manhatttan_distance,val_loss_mmd_rbf,val_acc_ks_p,val_acc_cosine_similarity,val_acc_euclidean_distance,val_acc_manhatttan_distance,val_acc_mmd_rbf
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.9532184475655754e-09,0.0,449.4607880560884,1005.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.031419614662736906,0.0,3.7416573867739413,6.0,1.9999983369425618,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.836026125780272e-06,0.0,377.4493343483334,844.0,2.0,0.20305402535969064,0.0,4.47213595499958,10.0,1.9999999958776928,0.29472711350437186,0.0,37.134889255254286,83.0,2.0,1.0,0.0,0.0,0.0,0.0,0.023033489980463395,0.9623436668565225,0.9657693617590658,1.3272191063563037,1.2130285274363766,0.020522062326867263,0.9935727629626175,0.2858362803183857,0.6008241799999998,0.15690762150085535,0.018972177611961016,0.97876455049729,0.8152170347111796,1.329999148845673,0.9710196433970433,0.020522062326867263,0.9904953730404342,0.2246085122959259,0.4285714626312256,0.09839513246766263
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.9532184475655754e-09,0.0,449.4607880560884,1005.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.031419614662736906,0.0,3.7416573867739413,6.0,1.9999983369425618,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.836026125780272e-06,0.0,377.4493343483334,844.0,2.0,0.20305402535969064,0.0,4.47213595499958,10.0,1.9999999958776928,0.29472711350437186,0.0,37.134889255254286,83.0,2.0,1.0,0.0,0.0,0.0,0.0,0.023033489980463395,0.9623437353788732,0.9657660595042572,1.3272118345896402,1.21302350778411,0.020522062326867263,0.9935727629626175,0.2858362803183857,0.6008241799999998,0.15690762150085535,0.018972177611961016,0.9787645405742138,0.8152174985474184,1.3300001025199895,0.9710204215678993,0.020522062326867263,0.9904953730404342,0.2246085122959259,0.4285714626312256,0.09839513246766263
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.9532184475655754e-09,0.0,449.4607880560884,1005.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.031419614662736906,0.0,3.7416573867739413,6.0,1.9999983369425618,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.836026125780272e-06,0.0,377.4493343483334,844.0,2.0,0.20305402535969064,0.0,4.47213595499958,10.0,1.9999999958776928,0.29472711350437186,0.0,37.134889255254286,83.0,2.0,1.0,0.0,0.0,0.0,0.0,0.023033489980463395,0.9623435070104474,0.965768035287485,1.3272119537989298,1.2130265111109968,0.020522062326867263,0.9935727629626175,0.2858362803183857,0.6008241799999998,0.15690762150085535,0.018972177611961016,0.9787645313762098,0.8152171181344101,1.329998910427094,0.9710197833549112,0.020522062326867263,0.9904953730404342,0.2246085122959259,0.4285714626312256,0.09839513246766263
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.9532184475655754e-09,0.0,449.4607880560884,1005.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.031419614662736906,0.0,3.7416573867739413,6.0,1.9999983369425618,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.836026125780272e-06,0.0,377.4493343483334,844.0,2.0,0.20305402535969064,0.0,4.47213595499958,10.0,1.9999999958776928,0.29472711350437186,0.0,37.134889255254286,83.0,2.0,1.0,0.0,0.0,0.0,0.0,0.023033489980463395,0.9623436927693997,0.9657674476502787,1.3272145764032999,1.2130256178624363,0.020522062326867263,0.9935727629626175,0.2858362803183857,0.6008241799999998,0.15690762150085535,0.018972177611961016,0.9787645711027241,0.8152170755871282,1.3299997448921208,0.9710197119739914,0.020522062326867263,0.9904953730404342,0.2246085122959259,0.4285714626312256,0.09839513246766263
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.9532184475655754e-09,0.0,449.4607880560884,1005.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.031419614662736906,0.0,3.7416573867739413,6.0,1.9999983369425618,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.836026125780272e-06,0.0,377.4493343483334,844.0,2.0,0.20305402535969064,0.0,4.47213595499958,10.0,1.9999999958776928,0.29472711350437186,0.0,37.134889255254286,83.0,2.0,1.0,0.0,0.0,0.0,0.0,0.023033489980463395,0.9623438578679934,0.9657666310758809,1.3272161261240645,1.2130243766129771,0.020522062326867263,0.9935727629626175,0.2858362803183857,0.6008241799999998,0.15690762150085535,0.018972177611961016,0.9787646373670676,0.8152159040265965,1.3299983143806462,0.9710177464644638,0.020522062326867263,0.9904953730404342,0.2246085122959259,0.4285714626312256,0.09839513246766263
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0237820036174128e-07,0.6049601506729063,448.1115932443614,1002.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.343880645128138e-11,0.0,7.416198487095663,15.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.836026125780272e-06,0.0,377.4493343483334,844.0,2.0,0.20305402535969064,0.0,4.47213595499958,10.0,1.9999999958776928,0.29472711350437186,0.0,37.134889255254286,83.0,2.0,1.0,0.0,0.0,0.0,0.0,2.8635871429871784e-05,0.9939575127506106,0.6159886477698645,1.2121913210550943,0.6315137986801482,0.021333822303615357,0.9822348622204293,0.31129186286747423,0.5912088199999999,0.18471123057612981,0.00012800818773783806,0.9998192979194052,0.41882793038267124,0.9304801821708688,0.321785643210331,0.18518761400587747,0.9840627226627948,0.21419047087325138,0.474285751581192,0.08968218644667614
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0237820036174128e-07,0.6049601506729063,448.1115932443614,1002.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.343880645128138e-11,0.0,7.416198487095663,15.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.836026125780272e-06,0.0,377.4493343483334,844.0,2.0,0.20305402535969064,0.0,4.47213595499958,10.0,1.9999999958776928,0.29472711350437186,0.0,37.134889255254286,83.0,2.0,1.0,0.0,0.0,0.0,0.0,2.8635871429871784e-05,0.9939575113060892,0.6159886644633681,1.2121913210550952,0.63151382682446,0.021333822303615357,0.9822348622204293,0.31129186286747423,0.5912088199999999,0.18471123057612981,0.00012800818773783806,0.9998192974603718,0.41882783147264707,0.9304799437522893,0.32178550416598073,0.18518761400587747,0.9840627226627948,0.21419047087325138,0.474285751581192,0.08968218644667614
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0237820036174128e-07,0.6049601506729063,448.1115932443614,1002.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.343880645128138e-11,0.0,7.416198487095663,15.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.836026125780272e-06,0.0,377.4493343483334,844.0,2.0,0.20305402535969064,0.0,4.47213595499958,10.0,1.9999999958776928,0.29472711350437186,0.0,37.134889255254286,83.0,2.0,1.0,0.0,0.0,0.0,0.0,2.8635871429871784e-05,0.9939575110752532,0.6159886173684681,1.2121912018458048,0.6315137474251009,0.021333822303615357,0.9822348622204293,0.31129186286747423,0.5912088199999999,0.18471123057612981,0.00012800818773783806,0.99981929729079,0.4188277805688634,0.9304798245429997,0.3217854326071814,0.18518761400587747,0.9840627226627948,0.21419047087325138,0.474285751581192,0.08968218644667614
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0237820036174128e-07,0.6049601506729063,448.1115932443614,1002.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.343880645128138e-11,0.0,7.416198487095663,15.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.836026125780272e-06,0.0,377.4493343483334,844.0,2.0,0.20305402535969064,0.0,4.47213595499958,10.0,1.9999999958776928,0.29472711350437186,0.0,37.134889255254286,83.0,2.0,1.0,0.0,0.0,0.0,0.0,2.8635871429871784e-05,0.9939575199670564,0.6159887637336815,1.212191797892253,0.6315139941886465,0.021333822303615357,0.9822348622204293,0.31129186286747423,0.5912088199999999,0.18471123057612981,0.00012800818773783806,0.9998192984458251,0.4188280798728513,0.930480539798737,0.3217858533585787,0.18518761400587747,0.9840627226627948,0.21419047087325138,0.474285751581192,0.08968218644667614
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0237820036174128e-07,0.6049601506729063,448.1115932443614,1002.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.343880645128138e-11,0.0,7.416198487095663,15.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.836026125780272e-06,0.0,377.4493343483334,844.0,2.0,0.20305402535969064,0.0,4.47213595499958,10.0,1.9999999958776928,0.29472711350437186,0.0,37.134889255254286,83.0,2.0,1.0,0.0,0.0,0.0,0.0,2.8635871429871784e-05,0.9939575150043635,0.6159887215258858,1.2121915594736739,0.6315139230286695,0.021333822303615357,0.9822348622204293,0.31129186286747423,0.5912088199999999,0.18471123057612981,0.00012800818773783806,0.9998192977602697,0.418827879249108,0.9304800629615788,0.32178557132850183,0.18518761400587747,0.9840627226627948,0.21419047087325138,0.474285751581192,0.08968218644667614
