nan_loss_ks_p,nan_loss_cosine_similarity,nan_loss_euclidean_distance,nan_loss_manhatttan_distance,nan_loss_mmd_rbf,test_not_well_ks_p,test_not_well_cosine_similarity,test_not_well_euclidean_distance,test_not_well_manhatttan_distance,test_not_well_mmd_rbf,test_turn_bad_ks_p,test_turn_bad_cosine_similarity,test_turn_bad_euclidean_distance,test_turn_bad_manhatttan_distance,test_turn_bad_mmd_rbf,sc_accuracy_ks_p,sc_accuracy_cosine_similarity,sc_accuracy_euclidean_distance,sc_accuracy_manhatttan_distance,sc_accuracy_mmd_rbf,died_relu_ks_p,died_relu_cosine_similarity,died_relu_euclidean_distance,died_relu_manhatttan_distance,died_relu_mmd_rbf,vanish_gradient_ks_p,vanish_gradient_cosine_similarity,vanish_gradient_euclidean_distance,vanish_gradient_manhatttan_distance,vanish_gradient_mmd_rbf,explode_gradient_ks_p,explode_gradient_cosine_similarity,explode_gradient_euclidean_distance,explode_gradient_manhatttan_distance,explode_gradient_mmd_rbf,nan_gradient_ks_p,nan_gradient_cosine_similarity,nan_gradient_euclidean_distance,nan_gradient_manhatttan_distance,nan_gradient_mmd_rbf,large_weight_ks_p,large_weight_cosine_similarity,large_weight_euclidean_distance,large_weight_manhatttan_distance,large_weight_mmd_rbf,nan_weight_ks_p,nan_weight_cosine_similarity,nan_weight_euclidean_distance,nan_weight_manhatttan_distance,nan_weight_mmd_rbf,weight_change_little_ks_p,weight_change_little_cosine_similarity,weight_change_little_euclidean_distance,weight_change_little_manhatttan_distance,weight_change_little_mmd_rbf,decrease_acc_ks_p,decrease_acc_cosine_similarity,decrease_acc_euclidean_distance,decrease_acc_manhatttan_distance,decrease_acc_mmd_rbf,increase_loss_ks_p,increase_loss_cosine_similarity,increase_loss_euclidean_distance,increase_loss_manhatttan_distance,increase_loss_mmd_rbf,cons_mean_weight_ks_p,cons_mean_weight_cosine_similarity,cons_mean_weight_euclidean_distance,cons_mean_weight_manhatttan_distance,cons_mean_weight_mmd_rbf,cons_std_weight_ks_p,cons_std_weight_cosine_similarity,cons_std_weight_euclidean_distance,cons_std_weight_manhatttan_distance,cons_std_weight_mmd_rbf,nan_acc_ks_p,nan_acc_cosine_similarity,nan_acc_euclidean_distance,nan_acc_manhatttan_distance,nan_acc_mmd_rbf,loss_ks_p,loss_cosine_similarity,loss_euclidean_distance,loss_manhatttan_distance,loss_mmd_rbf,acc_ks_p,acc_cosine_similarity,acc_euclidean_distance,acc_manhatttan_distance,acc_mmd_rbf,val_loss_ks_p,val_loss_cosine_similarity,val_loss_euclidean_distance,val_loss_manhatttan_distance,val_loss_mmd_rbf,val_acc_ks_p,val_acc_cosine_similarity,val_acc_euclidean_distance,val_acc_manhatttan_distance,val_acc_mmd_rbf
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.698575861720848e-06,0.9268051617622699,127.90621564255585,286.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.698575861720848e-06,0.9999984911838743,0.06539665785344176,0.13350999684651832,0.008535181404873082,0.010334667523430485,0.9999853985518279,0.04656676554893523,0.10378667000000003,0.004332228469794863,8.698575861720848e-06,0.999998189972446,0.07010966765617707,0.14248993438720436,0.009806609717580406,0.021172644311315048,0.9999963751879153,0.05426557919642979,0.12127995491027821,0.005880843105928735
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0710894876874164e-07,0.4547673591527506,131.4838393111488,294.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.698575861720848e-06,0.9999984721132475,0.06473539939426266,0.13171614028930723,0.008363806644347216,0.010334667523430485,0.9999924920371214,0.04721002908706159,0.10538666000000002,0.004452609890433168,8.698575861720848e-06,0.999998161823581,0.06987556687066113,0.14167754348754702,0.009741388711173249,0.017860109261360835,0.9999988085443584,0.053890424323157604,0.1204799711704253,0.005799929577498197
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.698575861720848e-06,0.9159127848688553,127.46372032857036,285.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.698575861720848e-06,0.9999984727705624,0.06517408764616776,0.13279982610066732,0.008477306290366249,0.012479039064181907,0.9999911515492845,0.0479358932334717,0.10698665999999996,0.004590423648183073,8.698575861720848e-06,0.9999981791304354,0.06995500903832723,0.14201856521606349,0.009763497264704935,0.017860109261360835,0.999997550448753,0.05247036797216018,0.11728000640869135,0.005498706204354109
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.248813217453076e-07,0.8532730585173579,129.24782396620841,289.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.698575861720848e-06,0.9999984717180743,0.06520648811523341,0.13286997685750457,0.008485719244680112,0.012479039064181907,0.9999900994666994,0.04717339388351765,0.10525337000000001,0.004445709762718408,8.698575861720848e-06,0.9999981796529662,0.07036318816079482,0.14302799362182483,0.009877484713785911,0.021172644311315048,0.999992792311044,0.05447600231399566,0.1216799914836883,0.005926471505140807
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0710894876874164e-07,0.999942550196718,129.69965304502554,290.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.698575861720848e-06,0.9999984833565522,0.06498708566296274,0.13243558736165095,0.008428831246333646,0.010334667523430485,0.9999889806248884,0.04700603078472163,0.10485335999999995,0.004414255268102796,8.698575861720848e-06,0.9999981781475832,0.06990045157741873,0.14187576889037867,0.00974831138627863,0.021172644311315048,0.9999987140848964,0.05371111948368637,0.1200800240039826,0.005761454152070078
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.442486958056158e-05,0.9085701229775718,125.23577763562615,280.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010334667523430485,0.9999937859008453,0.7135074138184923,1.5900281077575666,0.7979188443830973,0.0007024100008485856,0.9997479419146194,0.2862072379785143,0.6395200299999999,0.15729869144302655,0.010334667523430485,0.9999958450257075,0.7460263169295858,1.664629924621578,0.8536397593553642,0.0011639868120607577,0.9986483828694979,0.2725815317765206,0.6072800010442733,0.1432150156650862
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.7338381279884416e-05,0.8219849253825494,127.47156545677157,285.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010334667523430485,0.9999936180626223,0.713881064046372,1.5907217923990888,0.7985597962519395,0.0007024100008485856,0.9997324543190248,0.2862769771315123,0.63965336,0.15737225902125718,0.010334667523430485,0.9999955875181846,0.7459980411842029,1.6643551870727533,0.8535913955738066,0.0011639868120607577,0.9987982792213878,0.27282959481525776,0.6080799996852875,0.14346621488672562
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.698575861720848e-06,0.9513085387443239,126.56618821786489,283.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010334667523430485,0.9999932382255706,0.7146137212428171,1.5920437116495751,0.7998165621678226,0.000909001177569202,0.9996950602580039,0.28702031246648013,0.6412533499999999,0.1581573314710003,0.010334667523430485,0.9999952234237012,0.746225109446881,1.6645661932373033,0.8539797748716469,0.0011639868120607577,0.9988409659888062,0.2717344962683898,0.6056800037622452,0.14235873827750423
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.698575861720848e-06,0.8439473898915698,127.91403363196706,286.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010334667523430485,0.9999936320011277,0.7166697341933078,1.5969866419982939,0.80334319523902,0.0007024100008485856,0.9997737306651024,0.2854733810323572,0.6379200399999999,0.1565254574718573,0.010334667523430485,0.9999954937583364,0.7492978754919455,1.6716696188354465,0.8592341052289241,0.0011639868120607577,0.9987953205967318,0.27354084613791957,0.6096799969673157,0.14418753618793057
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.698575861720848e-06,0.8485850815090215,128.35497652993436,287.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010334667523430485,0.999993803070818,0.7164262003575189,1.5965851234944681,0.802925480330325,0.000909001177569202,0.9997230369694525,0.28521354840688246,0.6372533499999999,0.15625208111484645,0.010334667523430485,0.9999957180544127,0.748654313116575,1.6704102941894545,0.8581338473710174,0.0011639868120607577,0.9988031333127982,0.2722933523273974,0.6068800091743469,0.14292343715723654
