nan_loss_ks_p,nan_loss_cosine_similarity,nan_loss_euclidean_distance,nan_loss_manhatttan_distance,nan_loss_mmd_rbf,test_not_well_ks_p,test_not_well_cosine_similarity,test_not_well_euclidean_distance,test_not_well_manhatttan_distance,test_not_well_mmd_rbf,test_turn_bad_ks_p,test_turn_bad_cosine_similarity,test_turn_bad_euclidean_distance,test_turn_bad_manhatttan_distance,test_turn_bad_mmd_rbf,sc_accuracy_ks_p,sc_accuracy_cosine_similarity,sc_accuracy_euclidean_distance,sc_accuracy_manhatttan_distance,sc_accuracy_mmd_rbf,died_relu_ks_p,died_relu_cosine_similarity,died_relu_euclidean_distance,died_relu_manhatttan_distance,died_relu_mmd_rbf,vanish_gradient_ks_p,vanish_gradient_cosine_similarity,vanish_gradient_euclidean_distance,vanish_gradient_manhatttan_distance,vanish_gradient_mmd_rbf,explode_gradient_ks_p,explode_gradient_cosine_similarity,explode_gradient_euclidean_distance,explode_gradient_manhatttan_distance,explode_gradient_mmd_rbf,nan_gradient_ks_p,nan_gradient_cosine_similarity,nan_gradient_euclidean_distance,nan_gradient_manhatttan_distance,nan_gradient_mmd_rbf,large_weight_ks_p,large_weight_cosine_similarity,large_weight_euclidean_distance,large_weight_manhatttan_distance,large_weight_mmd_rbf,nan_weight_ks_p,nan_weight_cosine_similarity,nan_weight_euclidean_distance,nan_weight_manhatttan_distance,nan_weight_mmd_rbf,weight_change_little_ks_p,weight_change_little_cosine_similarity,weight_change_little_euclidean_distance,weight_change_little_manhatttan_distance,weight_change_little_mmd_rbf,decrease_acc_ks_p,decrease_acc_cosine_similarity,decrease_acc_euclidean_distance,decrease_acc_manhatttan_distance,decrease_acc_mmd_rbf,increase_loss_ks_p,increase_loss_cosine_similarity,increase_loss_euclidean_distance,increase_loss_manhatttan_distance,increase_loss_mmd_rbf,cons_mean_weight_ks_p,cons_mean_weight_cosine_similarity,cons_mean_weight_euclidean_distance,cons_mean_weight_manhatttan_distance,cons_mean_weight_mmd_rbf,cons_std_weight_ks_p,cons_std_weight_cosine_similarity,cons_std_weight_euclidean_distance,cons_std_weight_manhatttan_distance,cons_std_weight_mmd_rbf,nan_acc_ks_p,nan_acc_cosine_similarity,nan_acc_euclidean_distance,nan_acc_manhatttan_distance,nan_acc_mmd_rbf,loss_ks_p,loss_cosine_similarity,loss_euclidean_distance,loss_manhatttan_distance,loss_mmd_rbf,acc_ks_p,acc_cosine_similarity,acc_euclidean_distance,acc_manhatttan_distance,acc_mmd_rbf,val_loss_ks_p,val_loss_cosine_similarity,val_loss_euclidean_distance,val_loss_manhatttan_distance,val_loss_mmd_rbf,val_acc_ks_p,val_acc_cosine_similarity,val_acc_euclidean_distance,val_acc_manhatttan_distance,val_acc_mmd_rbf
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.6964932600969114e-05,0.5005173307126191,21.494185260204677,48.0,2.0,0.04165947904088341,0.8451542547285165,1.4142135623730951,2.0,1.7293294335267746,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04165947904088341,0.999969179531571,0.18453022497742042,0.4122268421268463,0.06695635931934563,0.544635156115232,0.9999849332999637,0.1068491595940905,0.23781328000000024,0.022703638407923554,0.25239347938588974,0.9984486212056943,0.19815499276081794,0.43101035268902793,0.07700901346973943,0.04165947904088341,0.9999749614004393,0.11562952809660706,0.25679999589920044,0.02656240765234341
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009962049335863421,0.9214069042664124,18.35755975068582,41.0,2.0,0.0631299440597356,0.7627700713964738,3.3166247903554,7.0,1.9999665965984195,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04165947904088341,0.9999101019039702,0.1770617645323203,0.3951753611580529,0.06172905131235762,0.42964033120579626,0.9999952851758013,0.10471368670218616,0.23381337999999996,0.021810120339322836,0.13472485768500975,0.999552355615054,0.19250330582407144,0.4279334504425525,0.0727585927222667,0.04165947904088341,0.9999892604642329,0.1137579489165543,0.25359994173049927,0.025714995797537776
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00012937726410255923,0.8777205561801551,19.261360284258224,43.0,2.0,1.0,0.4472135954999579,2.0,4.0,1.9633687222225316,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04165947904088341,0.9999627163680791,0.1782167438356137,0.3982779606596628,0.06252423694418163,0.544635156115232,0.9999941177439611,0.1089251749666536,0.24314667,0.023589171612755422,0.13472485768500975,0.998922907142389,0.2291885317320615,0.5053031723320482,0.10234332227973764,0.009962049335863421,0.999978377849784,0.12264111111461407,0.2727999687194824,0.02985658730114782
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009962049335863421,0.8458888522202895,18.81488772222678,42.0,2.0,0.04165947904088341,0.8432740427115679,2.6457513110645907,5.0,1.998176236068891,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04165947904088341,0.9999906910303583,0.18141824121086267,0.4054137070512773,0.0647537055875742,0.544635156115232,0.9999971906864638,0.10631607071748372,0.23754673999999998,0.022478933565519332,0.13472485768500975,0.9981901015202822,0.2202023850464317,0.4790657630264757,0.09466453501608152,0.04165947904088341,0.999962779957326,0.12163295240630889,0.2696000337600708,0.029371346198367343
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00012937726410255923,0.6511655420451837,20.591260281974,46.0,2.0,0.3294807659134037,0.7745966692414835,1.4142135623730951,2.0,1.7293294335267746,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04165947904088341,0.9998534244594932,0.1796922119958254,0.40019753016789755,0.06354711537167579,0.3294807659134037,0.9999930957378681,0.10944347498382766,0.2442133500000001,0.02381285007089229,0.13472485768500975,0.9989816757146934,0.19534222083763939,0.42939870637059224,0.07487943428609722,0.027126099706745066,0.9999954570355781,0.1153430246791083,0.25760000944137573,0.026431812231987317
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13472485768500975,0.9325855410925702,15.297058540778355,34.0,2.0,0.9992514601148377,0.0,2.23606797749979,5.0,1.986524106001829,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00012937726410255923,0.9999852560770593,0.638648222910643,1.4276616985734303,0.6698714018031473,3.6964932600969114e-05,0.9999642360865401,0.4673588959684997,1.0447467,0.39243141328037656,3.6964932600969114e-05,0.9991965111972723,0.6822584326521043,1.524028686839342,0.744328346326179,6.1608221002540375e-06,0.9999914806746857,0.5341904818325713,1.1944000720977783,0.4965120486504311
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.6964932600969114e-05,0.5005173307126191,21.494185260204677,48.0,2.0,0.04165947904088341,0.8432740427115679,2.6457513110645907,5.0,1.998176236068891,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00012937726410255923,0.9999661820379678,0.6389815400493963,1.4283442428684232,0.6704377243159765,3.6964932600969114e-05,0.9999362762657247,0.46688666507543153,1.04341339,0.3917220303180302,3.6964932600969114e-05,0.9994392108385692,0.6932687938908987,1.5488347377121447,0.7632022743172928,6.1608221002540375e-06,0.9999931287232813,0.529167268466058,1.1832000017166138,0.4884597220592146
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.6964932600969114e-05,0.9970972362566874,19.748417658131498,44.0,2.0,0.3294807659134037,0.7745966692414835,1.4142135623730951,2.0,1.7293294335267746,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00012937726410255923,0.9999708709039915,0.6440077115762373,1.4396501608308159,0.6789838540447526,3.6964932600969114e-05,0.9999513792586283,0.47243577672860154,1.05594666,0.40008321674616765,3.6964932600969114e-05,0.9991918725895899,0.6804831775497547,1.5200418626129628,0.74128693045178,6.1608221002540375e-06,0.9999614459210582,0.5321930895006608,1.1895999312400818,0.4933062268428696
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009962049335863421,0.9380849911685106,17.46424919657298,39.0,2.0,0.3294807659134037,0.7302967433402215,1.7320508075688772,3.0,1.900425863264272,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00012937726410255923,0.9999615132460985,0.639736329350544,1.4301437897459666,0.6717203489847474,3.6964932600969114e-05,0.9999744960627029,0.46446211103072904,1.0383467899999999,0.38808626565714843,3.6964932600969114e-05,0.9992090528965879,0.6795065089086577,1.5178874130547046,0.7396139222892426,6.1608221002540375e-06,0.9999775045072961,0.5321115754615976,1.1895999908447266,0.4931755067910819
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.6964932600969114e-05,0.8143807531137374,20.591260281974,46.0,2.0,0.3294807659134037,0.7302967433402215,1.7320508075688772,3.0,1.900425863264272,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00012937726410255923,0.9999593265567587,0.6396020507959427,1.4297834562714895,0.6714921472666455,3.6964932600969114e-05,0.9999873124374832,0.4704941309756112,1.05194674,0.39715134867568413,3.6964932600969114e-05,0.9991084621457774,0.6843651120773483,1.528311480551958,0.7479382733091582,6.1608221002540375e-06,0.999992818706968,0.5291880441712038,1.183199942111969,0.48849295755922384
