nan_loss_ks_p,nan_loss_cosine_similarity,nan_loss_euclidean_distance,nan_loss_manhatttan_distance,nan_loss_mmd_rbf,test_not_well_ks_p,test_not_well_cosine_similarity,test_not_well_euclidean_distance,test_not_well_manhatttan_distance,test_not_well_mmd_rbf,test_turn_bad_ks_p,test_turn_bad_cosine_similarity,test_turn_bad_euclidean_distance,test_turn_bad_manhatttan_distance,test_turn_bad_mmd_rbf,sc_accuracy_ks_p,sc_accuracy_cosine_similarity,sc_accuracy_euclidean_distance,sc_accuracy_manhatttan_distance,sc_accuracy_mmd_rbf,died_relu_ks_p,died_relu_cosine_similarity,died_relu_euclidean_distance,died_relu_manhatttan_distance,died_relu_mmd_rbf,vanish_gradient_ks_p,vanish_gradient_cosine_similarity,vanish_gradient_euclidean_distance,vanish_gradient_manhatttan_distance,vanish_gradient_mmd_rbf,explode_gradient_ks_p,explode_gradient_cosine_similarity,explode_gradient_euclidean_distance,explode_gradient_manhatttan_distance,explode_gradient_mmd_rbf,nan_gradient_ks_p,nan_gradient_cosine_similarity,nan_gradient_euclidean_distance,nan_gradient_manhatttan_distance,nan_gradient_mmd_rbf,large_weight_ks_p,large_weight_cosine_similarity,large_weight_euclidean_distance,large_weight_manhatttan_distance,large_weight_mmd_rbf,nan_weight_ks_p,nan_weight_cosine_similarity,nan_weight_euclidean_distance,nan_weight_manhatttan_distance,nan_weight_mmd_rbf,weight_change_little_ks_p,weight_change_little_cosine_similarity,weight_change_little_euclidean_distance,weight_change_little_manhatttan_distance,weight_change_little_mmd_rbf,decrease_acc_ks_p,decrease_acc_cosine_similarity,decrease_acc_euclidean_distance,decrease_acc_manhatttan_distance,decrease_acc_mmd_rbf,increase_loss_ks_p,increase_loss_cosine_similarity,increase_loss_euclidean_distance,increase_loss_manhatttan_distance,increase_loss_mmd_rbf,cons_mean_weight_ks_p,cons_mean_weight_cosine_similarity,cons_mean_weight_euclidean_distance,cons_mean_weight_manhatttan_distance,cons_mean_weight_mmd_rbf,cons_std_weight_ks_p,cons_std_weight_cosine_similarity,cons_std_weight_euclidean_distance,cons_std_weight_manhatttan_distance,cons_std_weight_mmd_rbf,nan_acc_ks_p,nan_acc_cosine_similarity,nan_acc_euclidean_distance,nan_acc_manhatttan_distance,nan_acc_mmd_rbf,loss_ks_p,loss_cosine_similarity,loss_euclidean_distance,loss_manhatttan_distance,loss_mmd_rbf,acc_ks_p,acc_cosine_similarity,acc_euclidean_distance,acc_manhatttan_distance,acc_mmd_rbf,val_loss_ks_p,val_loss_cosine_similarity,val_loss_euclidean_distance,val_loss_manhatttan_distance,val_loss_mmd_rbf,val_acc_ks_p,val_acc_cosine_similarity,val_acc_euclidean_distance,val_acc_manhatttan_distance,val_acc_mmd_rbf
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.442486958056158e-05,0.9067506922518229,113.6221809331259,254.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.9330168581355167e-06,0.9999487828114848,0.0030600179595846677,0.006366435145516443,1.872733214725031e-05,1.5947389080062102e-05,0.9999999685173879,0.0011572207029777622,0.002354460000000169,2.678317714055467e-06,0.23750769301876606,0.9997367661845872,0.0075461164920949024,0.013557412631716795,0.00011388450568117214,0.2888164325901189,0.999999521673401,0.006491972044525182,0.01369708776473988,8.42896258186343e-05
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.698575861720848e-06,0.8853083601942774,115.4036394573412,258.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00010365802902079224,0.9995351197256735,0.004448472286806694,0.009708256421034504,3.957741977478335e-05,0.00040137714334220753,0.9999997833374799,0.0018134713991127122,0.004021699999999906,6.5773462152307616e-06,0.0011639868120607577,0.9971295773374079,0.017207006391214582,0.03215126454182911,0.0005920744825465007,0.4180304632756221,0.9999975586644686,0.005707578092623533,0.008807361125946045,6.515183415345405e-05
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.9330168581355167e-06,0.7329913421093518,118.52004049948684,265.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.7338381279884416e-05,0.9996797109944365,0.003494083040363277,0.0070278462947750905,2.4417083536176776e-05,6.910535268045415e-05,0.9999999213855488,0.001024290765310295,0.002089109999999894,2.098342041234602e-06,0.6226077643522662,0.9801988069415664,0.060488528427587424,0.07474360254993834,0.007304353183482437,0.4564375579721677,0.9999783766244081,0.017052395856449725,0.021422624588012695,0.0005814838616318152
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.442486958056158e-05,0.9067506922518229,113.6221809331259,254.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.910535268045415e-05,0.9996630285820142,0.0038043405736237963,0.008211276619277383,2.8945804933400154e-05,0.00040137714334220753,0.9999998407467986,0.0013807638091287563,0.002910199999999863,3.813013758513506e-06,0.00040137714334220753,0.9999099754710923,0.008338826220739904,0.017424807397216455,0.00013906721033296598,0.0149750816004941,0.9999997566780555,0.0017118375717086762,0.0034066438674926758,5.860767156695701e-06
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.34928793069389e-06,0.9507142652648716,114.93911431710269,257.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.698575861720848e-06,0.9998110363442151,0.003162933863735505,0.005773963214113255,2.0008201170096385e-05,1.5947389080062102e-05,0.9999999188430009,0.0012468507091869282,0.002200219999999864,3.109270964030131e-06,0.039587667483613864,0.998260590682911,0.014010251556378235,0.023453113089659014,0.00039253577122200234,0.21415294881980584,0.999998000214332,0.0058674012519921385,0.009085237979888805,6.885160974046123e-05
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.248813217453076e-07,0.8977273870228663,118.51160280748886,265.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.451815822064219e-08,0.9911783850171956,3.693987579054686,8.173309993192342,1.9999976294701292,3.451815822064219e-08,0.999969792494587,1.0155870844895265,2.2708269999999997,1.2869972100641505,3.451815822064219e-08,0.9981324311808992,3.6133088727233966,8.059318919837802,1.9999957255444873,3.451815822064219e-08,0.9999879788925236,0.9851234281265748,2.202760100364685,1.242188790301749
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.698575861720848e-06,0.9330532574265721,114.49890829173874,256.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.451815822064219e-08,0.9914642951667485,3.717000243742631,8.227139233271823,1.9999980011601715,3.451815822064219e-08,0.9999486581657958,1.0164622100789065,2.27271646,1.2882640150270368,3.451815822064219e-08,0.9986102742396934,3.595297602700514,8.029591222465365,1.9999951329262367,3.451815822064219e-08,0.9999986478665948,0.9879398537404217,2.209095537662506,1.2463882575610379
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.34928793069389e-06,0.9486227379445519,115.38630767989761,258.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.451815822064219e-08,0.9919365270729161,3.703146464788765,8.200834970236977,1.9999977847528025,3.451815822064219e-08,0.9999630133893274,1.0145535060978463,2.26849287,1.285499538835309,3.451815822064219e-08,0.9992551911336081,3.6227665601322863,8.090329175765879,1.9999960082880888,3.451815822064219e-08,0.9999644970363997,0.9914248891644332,2.216764807701111,1.2515689001251185
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.451815822064219e-08,0.0,120.30378215168466,269.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.451815822064219e-08,0.9919469268461917,3.7023963959437665,8.19942544679202,1.9999977724136038,3.451815822064219e-08,0.9999808982119855,1.0114954056457364,2.26171276,1.2810588504889828,3.451815822064219e-08,0.9967375899397034,3.70450045839485,8.260018480875157,1.9999978068604707,3.451815822064219e-08,0.9999902049424273,0.9940662727638042,2.222766697406769,1.2554837304338538
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.34928793069389e-06,0.9145424384188441,115.84040745784694,259.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.451815822064219e-08,0.9915270158166737,3.693045560085013,8.174309895949044,1.9999976129167345,3.451815822064219e-08,0.9999667137147235,1.0155920096577444,2.2708269100000003,1.2870043428361704,3.451815822064219e-08,0.9980178464360261,3.6142104164217135,8.061940147000765,1.9999957533059725,3.451815822064219e-08,0.9999611875691763,0.9924713413258343,2.2190988659858704,1.253121070628675
