dataset_name,model_num,mutant_type,iter,label
mnist,0,ft_0,0,0
mnist,0,ft_0,1,0
mnist,0,ft_0,2,0
mnist,0,ft_0,3,0
mnist,0,ft_0,4,0
mnist,0,ft_1,0,1
mnist,0,ft_1,1,1
mnist,0,ft_1,2,1
mnist,0,ft_1,3,1
mnist,0,ft_1,4,1
mnist,0,ft_2,0,2
mnist,0,ft_2,1,2
mnist,0,ft_2,2,2
mnist,0,ft_2,3,2
mnist,0,ft_2,4,2
mnist,0,ft_3,0,0
mnist,0,ft_3,1,0
mnist,0,ft_3,2,0
mnist,0,ft_3,3,0
mnist,0,ft_3,4,0
mnist,0,ft_4,0,0
mnist,0,ft_4,1,0
mnist,0,ft_4,2,0
mnist,0,ft_4,3,0
mnist,0,ft_4,4,0
mnist,0,ft_5,0,0
mnist,0,ft_5,1,0
mnist,0,ft_5,2,0
mnist,0,ft_5,3,0
mnist,0,ft_5,4,0
mnist,1,ft_0,0,0
mnist,1,ft_0,1,0
mnist,1,ft_0,2,0
mnist,1,ft_0,3,0
mnist,1,ft_0,4,0
mnist,1,ft_1,0,1
mnist,1,ft_1,1,1
mnist,1,ft_1,2,1
mnist,1,ft_1,3,1
mnist,1,ft_1,4,1
mnist,1,ft_2,0,2
mnist,1,ft_2,1,2
mnist,1,ft_2,2,2
mnist,1,ft_2,3,2
mnist,1,ft_2,4,2
mnist,1,ft_3,0,0
mnist,1,ft_3,1,0
mnist,1,ft_3,2,0
mnist,1,ft_3,3,0
mnist,1,ft_3,4,0
mnist,1,ft_4,0,4
mnist,1,ft_4,1,4
mnist,1,ft_4,2,4
mnist,1,ft_4,3,4
mnist,1,ft_4,4,4
mnist,1,ft_5,0,5
mnist,1,ft_5,1,5
mnist,1,ft_5,2,5
mnist,1,ft_5,3,5
mnist,1,ft_5,4,5
mnist,2,ft_0,0,0
mnist,2,ft_0,1,0
mnist,2,ft_0,2,0
mnist,2,ft_0,3,0
mnist,2,ft_0,4,0
mnist,2,ft_1,0,1
mnist,2,ft_1,1,1
mnist,2,ft_1,2,1
mnist,2,ft_1,3,1
mnist,2,ft_1,4,1
mnist,2,ft_2,0,2
mnist,2,ft_2,1,2
mnist,2,ft_2,2,2
mnist,2,ft_2,3,2
mnist,2,ft_2,4,2
mnist,2,ft_3,0,0
mnist,2,ft_3,1,0
mnist,2,ft_3,2,0
mnist,2,ft_3,3,0
mnist,2,ft_3,4,0
mnist,2,ft_4,0,4
mnist,2,ft_4,1,4
mnist,2,ft_4,2,4
mnist,2,ft_4,3,4
mnist,2,ft_4,4,4
mnist,2,ft_5,0,0
mnist,2,ft_5,1,0
mnist,2,ft_5,2,0
mnist,2,ft_5,3,0
mnist,2,ft_5,4,0
mnist,3,ft_0,0,0
mnist,3,ft_0,1,0
mnist,3,ft_0,2,0
mnist,3,ft_0,3,0
mnist,3,ft_0,4,0
mnist,3,ft_1,0,1
mnist,3,ft_1,1,1
mnist,3,ft_1,2,1
mnist,3,ft_1,3,1
mnist,3,ft_1,4,1
mnist,3,ft_2,0,2
mnist,3,ft_2,1,2
mnist,3,ft_2,2,2
mnist,3,ft_2,3,2
mnist,3,ft_2,4,2
mnist,3,ft_3,0,0
mnist,3,ft_3,1,0
mnist,3,ft_3,2,0
mnist,3,ft_3,3,0
mnist,3,ft_3,4,0
mnist,3,ft_4,0,4
mnist,3,ft_4,1,4
mnist,3,ft_4,2,4
mnist,3,ft_4,3,4
mnist,3,ft_4,4,4
mnist,3,ft_5,0,5
mnist,3,ft_5,1,5
mnist,3,ft_5,2,5
mnist,3,ft_5,3,5
mnist,3,ft_5,4,5
mnist,4,ft_0,0,0
mnist,4,ft_0,1,0
mnist,4,ft_0,2,0
mnist,4,ft_0,3,0
mnist,4,ft_0,4,0
mnist,4,ft_1,0,1
mnist,4,ft_1,1,1
mnist,4,ft_1,2,1
mnist,4,ft_1,3,1
mnist,4,ft_1,4,1
mnist,4,ft_2,0,2
mnist,4,ft_2,1,2
mnist,4,ft_2,2,2
mnist,4,ft_2,3,2
mnist,4,ft_2,4,2
mnist,4,ft_3,0,0
mnist,4,ft_3,1,0
mnist,4,ft_3,2,0
mnist,4,ft_3,3,0
mnist,4,ft_3,4,0
mnist,4,ft_4,0,0
mnist,4,ft_4,1,0
mnist,4,ft_4,2,0
mnist,4,ft_4,3,0
mnist,4,ft_4,4,0
mnist,4,ft_5,0,0
mnist,4,ft_5,1,0
mnist,4,ft_5,2,0
mnist,4,ft_5,3,0
mnist,4,ft_5,4,0
mnist,5,ft_0,0,0
mnist,5,ft_0,1,0
mnist,5,ft_0,2,0
mnist,5,ft_0,3,0
mnist,5,ft_0,4,0
mnist,5,ft_1,0,1
mnist,5,ft_1,1,1
mnist,5,ft_1,2,1
mnist,5,ft_1,3,1
mnist,5,ft_1,4,1
mnist,5,ft_2,0,2
mnist,5,ft_2,1,2
mnist,5,ft_2,2,2
mnist,5,ft_2,3,2
mnist,5,ft_2,4,2
mnist,5,ft_3,0,0
mnist,5,ft_3,1,0
mnist,5,ft_3,2,0
mnist,5,ft_3,3,0
mnist,5,ft_3,4,0
mnist,5,ft_4,0,0
mnist,5,ft_4,1,0
mnist,5,ft_4,2,0
mnist,5,ft_4,3,0
mnist,5,ft_4,4,0
mnist,5,ft_5,0,0
mnist,5,ft_5,1,0
mnist,5,ft_5,2,0
mnist,5,ft_5,3,0
mnist,5,ft_5,4,0
mnist,6,ft_0,0,0
mnist,6,ft_0,1,0
mnist,6,ft_0,2,0
mnist,6,ft_0,3,0
mnist,6,ft_0,4,0
mnist,6,ft_1,0,1
mnist,6,ft_1,1,1
mnist,6,ft_1,2,1
mnist,6,ft_1,3,1
mnist,6,ft_1,4,1
mnist,6,ft_2,0,2
mnist,6,ft_2,1,2
mnist,6,ft_2,2,2
mnist,6,ft_2,3,2
mnist,6,ft_2,4,2
mnist,6,ft_3,0,0
