index,A,B,C,AB,AC,BC,ABC
DT_0,0.8888888888888888,0.9238095238095239,0.9206349206349206,0.9079365079365079,0.926984126984127,0.9492063492063492,0.9079365079365079
DT_1,0.9396825396825397,0.9206349206349206,0.926984126984127,0.9206349206349206,0.9301587301587302,0.926984126984127,0.9206349206349206
DT_2,0.9333333333333333,0.9365079365079365,0.9428571428571428,0.9333333333333333,0.9365079365079365,0.9428571428571428,0.9365079365079365
DT_3,0.9142857142857143,0.9206349206349206,0.8984126984126984,0.9365079365079365,0.9015873015873016,0.9523809523809523,0.9174603174603174
DT_4,0.8793650793650793,0.9492063492063492,0.9174603174603174,0.9365079365079365,0.8984126984126984,0.946031746031746,0.9428571428571428
DT_5,0.8888888888888888,0.946031746031746,0.8857142857142857,0.9333333333333333,0.926984126984127,0.9079365079365079,0.9111111111111111
DT_6,0.9365079365079365,0.9428571428571428,0.9333333333333333,0.9365079365079365,0.9047619047619048,0.9174603174603174,0.9333333333333333
DT_7,0.9206349206349206,0.9238095238095239,0.9365079365079365,0.9301587301587302,0.9333333333333333,0.9492063492063492,0.9238095238095239
DT_8,0.9174603174603174,0.9238095238095239,0.9333333333333333,0.9079365079365079,0.9015873015873016,0.9238095238095239,0.9079365079365079
DT_9,0.9015873015873016,0.9238095238095239,0.946031746031746,0.9523809523809523,0.926984126984127,0.9333333333333333,0.9301587301587302
RF_0,0.9428571428571428,0.9428571428571428,0.9492063492063492,0.9650793650793651,0.9555555555555556,0.9301587301587302,0.9650793650793651
RF_1,0.9587301587301588,0.9492063492063492,0.9555555555555556,0.9555555555555556,0.9492063492063492,0.946031746031746,0.9523809523809523
RF_2,0.9555555555555556,0.9396825396825397,0.9365079365079365,0.9523809523809523,0.9428571428571428,0.9428571428571428,0.9492063492063492
RF_3,0.9523809523809523,0.9365079365079365,0.9428571428571428,0.9492063492063492,0.9492063492063492,0.9492063492063492,0.9523809523809523
RF_4,0.926984126984127,0.9523809523809523,0.9238095238095239,0.9523809523809523,0.9396825396825397,0.946031746031746,0.9396825396825397
RF_5,0.9555555555555556,0.9365079365079365,0.946031746031746,0.9587301587301588,0.9619047619047619,0.9523809523809523,0.9650793650793651
RF_6,0.9428571428571428,0.9365079365079365,0.9555555555555556,0.9619047619047619,0.9396825396825397,0.9619047619047619,0.9492063492063492
RF_7,0.9650793650793651,0.9492063492063492,0.9428571428571428,0.9746031746031746,0.9619047619047619,0.9682539682539683,0.9682539682539683
RF_8,0.9174603174603174,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9492063492063492,0.9650793650793651,0.9523809523809523
RF_9,0.9428571428571428,0.9396825396825397,0.9555555555555556,0.9682539682539683,0.9587301587301588,0.9619047619047619,0.9682539682539683
NB_0,0.4666666666666667,0.5428571428571428,0.4857142857142857,0.526984126984127,0.5650793650793651,0.5523809523809524,0.5714285714285714
NB_1,0.4857142857142857,0.546031746031746,0.4793650793650794,0.5873015873015873,0.6158730158730159,0.5650793650793651,0.6222222222222222
NB_2,0.47619047619047616,0.580952380952381,0.5142857142857142,0.5968253968253968,0.6031746031746031,0.5904761904761905,0.6222222222222222
NB_3,0.49523809523809526,0.5587301587301587,0.4888888888888889,0.5587301587301587,0.5936507936507937,0.5746031746031746,0.6063492063492063
NB_4,0.3968253968253968,0.526984126984127,0.4634920634920635,0.5301587301587302,0.546031746031746,0.5714285714285714,0.6063492063492063
NB_5,0.42857142857142855,0.5079365079365079,0.4793650793650794,0.5365079365079365,0.5650793650793651,0.546031746031746,0.6
NB_6,0.44761904761904764,0.5333333333333333,0.47619047619047616,0.5523809523809524,0.5619047619047619,0.5619047619047619,0.5968253968253968
NB_7,0.4603174603174603,0.5047619047619047,0.48253968253968255,0.5111111111111111,0.5682539682539682,0.5492063492063493,0.5904761904761905
NB_8,0.38412698412698415,0.4857142857142857,0.4380952380952381,0.4793650793650794,0.5365079365079365,0.5206349206349207,0.5555555555555556
NB_9,0.41904761904761906,0.5396825396825397,0.4666666666666667,0.5111111111111111,0.546031746031746,0.5523809523809524,0.5746031746031746
KNN_0,0.7746031746031746,0.7619047619047619,0.7714285714285715,0.765079365079365,0.780952380952381,0.7555555555555555,0.765079365079365
KNN_1,0.7365079365079366,0.7587301587301587,0.7777777777777778,0.7619047619047619,0.7873015873015873,0.780952380952381,0.780952380952381
KNN_2,0.765079365079365,0.7587301587301587,0.7968253968253968,0.7555555555555555,0.780952380952381,0.7746031746031746,0.7619047619047619
KNN_3,0.765079365079365,0.7523809523809524,0.7936507936507936,0.7619047619047619,0.7841269841269841,0.7555555555555555,0.7587301587301587
KNN_4,0.7396825396825397,0.7523809523809524,0.7777777777777778,0.7555555555555555,0.8095238095238095,0.7746031746031746,0.7682539682539683
KNN_5,0.7333333333333333,0.7555555555555555,0.780952380952381,0.7523809523809524,0.7968253968253968,0.7492063492063492,0.7523809523809524
KNN_6,0.7587301587301587,0.7428571428571429,0.7936507936507936,0.7523809523809524,0.780952380952381,0.7238095238095238,0.7238095238095238
KNN_7,0.746031746031746,0.7396825396825397,0.7587301587301587,0.7396825396825397,0.7746031746031746,0.7523809523809524,0.7587301587301587
KNN_8,0.7428571428571429,0.7428571428571429,0.780952380952381,0.746031746031746,0.7841269841269841,0.7746031746031746,0.7682539682539683
KNN_9,0.7428571428571429,0.7365079365079366,0.7492063492063492,0.746031746031746,0.765079365079365,0.7619047619047619,0.7619047619047619
LR_0,0.7365079365079366,0.8031746031746032,0.8095238095238095,0.8285714285714286,0.8571428571428571,0.8285714285714286,0.8571428571428571
LR_1,0.7301587301587301,0.8317460317460318,0.8158730158730159,0.8444444444444444,0.8666666666666667,0.8444444444444444,0.8603174603174604
LR_2,0.746031746031746,0.8317460317460318,0.7904761904761904,0.8444444444444444,0.8412698412698413,0.8476190476190476,0.8666666666666667
LR_3,0.7396825396825397,0.8095238095238095,0.819047619047619,0.834920634920635,0.8507936507936508,0.8380952380952381,0.8571428571428571
LR_4,0.746031746031746,0.8095238095238095,0.7936507936507936,0.8412698412698413,0.8253968253968254,0.819047619047619,0.8380952380952381
LR_5,0.7301587301587301,0.8095238095238095,0.8,0.8412698412698413,0.834920634920635,0.8285714285714286,0.8603174603174604
LR_6,0.746031746031746,0.7936507936507936,0.8158730158730159,0.8285714285714286,0.8507936507936508,0.8285714285714286,0.8698412698412699
