index,A,B,C,AB,AC,BC,ABC
DT_0,0.8765432098765432,0.9475308641975309,0.9444444444444444,0.9598765432098766,0.9012345679012346,0.9382716049382716,0.9475308641975309
DT_1,0.8796296296296297,0.9259259259259259,0.8734567901234568,0.9320987654320988,0.8827160493827161,0.9135802469135802,0.8981481481481481
DT_2,0.8858024691358025,0.9290123456790124,0.9506172839506173,0.9197530864197531,0.9290123456790124,0.9351851851851852,0.9135802469135802
DT_3,0.8611111111111112,0.9382716049382716,0.9259259259259259,0.9444444444444444,0.9320987654320988,0.9166666666666666,0.9290123456790124
DT_4,0.8950617283950617,0.9444444444444444,0.941358024691358,0.9444444444444444,0.9506172839506173,0.9382716049382716,0.9475308641975309
DT_5,0.8487654320987654,0.9228395061728395,0.9382716049382716,0.9166666666666666,0.9135802469135802,0.9629629629629629,0.9382716049382716
DT_6,0.9135802469135802,0.9351851851851852,0.9475308641975309,0.9290123456790124,0.9290123456790124,0.9228395061728395,0.941358024691358
DT_7,0.9135802469135802,0.9537037037037037,0.941358024691358,0.9382716049382716,0.941358024691358,0.9506172839506173,0.9228395061728395
DT_8,0.9012345679012346,0.9228395061728395,0.9228395061728395,0.9104938271604939,0.9382716049382716,0.9351851851851852,0.9382716049382716
DT_9,0.8950617283950617,0.9351851851851852,0.9104938271604939,0.9104938271604939,0.9074074074074074,0.9290123456790124,0.9197530864197531
RF_0,0.9320987654320988,0.9783950617283951,0.9845679012345679,0.9629629629629629,0.9660493827160493,0.9783950617283951,0.9753086419753086
RF_1,0.9290123456790124,0.9660493827160493,0.9598765432098766,0.9567901234567902,0.9629629629629629,0.9691358024691358,0.9691358024691358
RF_2,0.9259259259259259,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9598765432098766,0.9691358024691358,0.9722222222222222
RF_3,0.9074074074074074,0.9845679012345679,0.9629629629629629,0.941358024691358,0.9444444444444444,0.9629629629629629,0.9567901234567902
RF_4,0.9444444444444444,0.9814814814814815,0.9722222222222222,0.9660493827160493,0.9691358024691358,0.9691358024691358,0.9598765432098766
RF_5,0.9259259259259259,0.9907407407407407,0.9722222222222222,0.9783950617283951,0.9506172839506173,0.9814814814814815,0.9845679012345679
RF_6,0.9259259259259259,0.9845679012345679,0.9660493827160493,0.9753086419753086,0.9660493827160493,0.9722222222222222,0.9660493827160493
RF_7,0.9290123456790124,0.9814814814814815,0.9691358024691358,0.9722222222222222,0.9691358024691358,0.9814814814814815,0.9783950617283951
RF_8,0.8888888888888888,0.9691358024691358,0.9444444444444444,0.9660493827160493,0.9537037037037037,0.9567901234567902,0.9691358024691358
RF_9,0.9382716049382716,0.9660493827160493,0.9691358024691358,0.9845679012345679,0.9567901234567902,0.9660493827160493,0.9722222222222222
NB_0,0.32407407407407407,0.10802469135802469,0.28703703703703703,0.13580246913580246,0.35185185185185186,0.16358024691358025,0.16666666666666666
NB_1,0.31790123456790126,0.14814814814814814,0.28703703703703703,0.16358024691358025,0.3734567901234568,0.16358024691358025,0.18209876543209877
NB_2,0.3395061728395062,0.10802469135802469,0.27469135802469136,0.11419753086419752,0.345679012345679,0.14814814814814814,0.15432098765432098
NB_3,0.3487654320987654,0.12037037037037036,0.2993827160493827,0.1388888888888889,0.3950617283950617,0.1697530864197531,0.17592592592592593
NB_4,0.345679012345679,0.1388888888888889,0.2962962962962963,0.1388888888888889,0.39814814814814814,0.21604938271604937,0.2222222222222222
NB_5,0.3425925925925926,0.12654320987654322,0.30864197530864196,0.13580246913580246,0.4012345679012346,0.1697530864197531,0.18209876543209877
NB_6,0.3271604938271605,0.09876543209876543,0.30246913580246915,0.11419753086419752,0.36728395061728397,0.16358024691358025,0.16358024691358025
NB_7,0.32407407407407407,0.12962962962962962,0.2932098765432099,0.14814814814814814,0.3765432098765432,0.17592592592592593,0.18209876543209877
NB_8,0.3487654320987654,0.12345679012345678,0.29012345679012347,0.1574074074074074,0.3734567901234568,0.18518518518518517,0.1882716049382716
NB_9,0.3148148148148148,0.09567901234567901,0.2962962962962963,0.10802469135802469,0.38271604938271603,0.1388888888888889,0.1388888888888889
KNN_0,0.7098765432098766,0.7561728395061729,0.8395061728395061,0.7561728395061729,0.7808641975308642,0.7777777777777778,0.7592592592592593
KNN_1,0.6790123456790124,0.6975308641975309,0.8364197530864198,0.6975308641975309,0.7592592592592593,0.7561728395061729,0.7160493827160493
