index,A,B,C,AB,AC,BC,ABC
DT_0,0.9245014245014245,0.9444444444444444,0.9487179487179487,0.9501424501424501,0.9415954415954416,0.9615384615384616,0.9586894586894587
DT_1,0.9330484330484331,0.9572649572649573,0.9387464387464387,0.9658119658119658,0.9615384615384616,0.9444444444444444,0.9729344729344729
DT_2,0.9330484330484331,0.9458689458689459,0.9529914529914529,0.9273504273504274,0.9415954415954416,0.9643874643874644,0.9387464387464387
DT_3,0.9344729344729344,0.9316239316239316,0.9358974358974359,0.9301994301994302,0.9601139601139601,0.9544159544159544,0.9430199430199431
DT_4,0.9330484330484331,0.9515669515669516,0.9330484330484331,0.9330484330484331,0.9487179487179487,0.9415954415954416,0.9230769230769231
DT_5,0.9344729344729344,0.9301994301994302,0.9387464387464387,0.9572649572649573,0.9558404558404558,0.9529914529914529,0.9544159544159544
DT_6,0.9173789173789174,0.9458689458689459,0.9387464387464387,0.9501424501424501,0.9487179487179487,0.9444444444444444,0.9515669515669516
DT_7,0.9316239316239316,0.9415954415954416,0.9344729344729344,0.9415954415954416,0.9472934472934473,0.9629629629629629,0.9387464387464387
DT_8,0.9259259259259259,0.9529914529914529,0.9472934472934473,0.9643874643874644,0.9629629629629629,0.9686609686609686,0.9615384615384616
DT_9,0.9102564102564102,0.9415954415954416,0.9387464387464387,0.9316239316239316,0.9273504273504274,0.9501424501424501,0.9401709401709402
RF_0,0.9387464387464387,0.9658119658119658,0.9529914529914529,0.9629629629629629,0.9558404558404558,0.9658119658119658,0.9672364672364673
RF_1,0.9529914529914529,0.9729344729344729,0.9615384615384616,0.9700854700854701,0.9643874643874644,0.9715099715099715,0.9700854700854701
RF_2,0.9487179487179487,0.9643874643874644,0.9572649572649573,0.9558404558404558,0.9586894586894587,0.9686609686609686,0.9615384615384616
RF_3,0.9316239316239316,0.9544159544159544,0.9529914529914529,0.9529914529914529,0.9501424501424501,0.9643874643874644,0.9615384615384616
RF_4,0.9529914529914529,0.9715099715099715,0.9686609686609686,0.9743589743589743,0.9672364672364673,0.9772079772079773,0.9729344729344729
RF_5,0.9487179487179487,0.9686609686609686,0.9729344729344729,0.9629629629629629,0.9601139601139601,0.9615384615384616,0.9700854700854701
RF_6,0.9487179487179487,0.9643874643874644,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9615384615384616,0.9672364672364673
RF_7,0.9444444444444444,0.9601139601139601,0.9558404558404558,0.9658119658119658,0.9586894586894587,0.9658119658119658,0.9686609686609686
RF_8,0.9501424501424501,0.9700854700854701,0.9658119658119658,0.9672364672364673,0.9658119658119658,0.9686609686609686,0.9729344729344729
RF_9,0.9373219373219374,0.9558404558404558,0.9601139601139601,0.9601139601139601,0.9700854700854701,0.9658119658119658,0.9658119658119658
NB_0,0.2336182336182336,0.04843304843304843,0.30626780626780625,0.07122507122507123,0.26495726495726496,0.09544159544159544,0.09401709401709402
NB_1,0.21794871794871795,0.04700854700854701,0.292022792022792,0.05982905982905983,0.2564102564102564,0.07977207977207977,0.0811965811965812
NB_2,0.23504273504273504,0.05128205128205128,0.2948717948717949,0.06837606837606838,0.2564102564102564,0.09259259259259259,0.09401709401709402
