index,A,B,C,AB,AC,BC,ABC
DT_0,0.8547249937371642,0.9044342291434053,0.8927967297953296,0.9289718824585651,0.9077021809950806,0.9363167571582466,0.9381416188777548
DT_1,0.9101027579089211,0.9112129212425192,0.8585856819218592,0.9316523960473693,0.9369329949016919,0.886103066277188,0.9448572536171134
DT_2,0.8702516005119518,0.909398350983924,0.9119251326177077,0.8982274355937477,0.8918931874114843,0.903636336664743,0.9029445785929751
DT_3,0.863596991964306,0.8678455428388755,0.8940935203995267,0.8846904891042504,0.9315368323674963,0.9115110511499863,0.9082554849223369
DT_4,0.9005096820150622,0.9326290203160791,0.8866522112622589,0.9254379002439622,0.9009353657740928,0.9198589277217879,0.9056869010431031
DT_5,0.9018526016690837,0.8836736848957513,0.8885880204938924,0.914379206497164,0.9232104194706273,0.8735800083829859,0.9179448098192352
DT_6,0.8738708969098736,0.9249674433971263,0.9133334429152056,0.9251261157050749,0.9030565966094574,0.9448789822096311,0.9036685663262786
DT_7,0.8731447365595132,0.9235485864462846,0.8994690728217876,0.9067057914272191,0.8927447944083288,0.933594959599955,0.9143887202353226
DT_8,0.8946137033574288,0.9324939212773936,0.9068767961293438,0.939353421767482,0.9465173582929007,0.9514894142615645,0.9403666178907196
DT_9,0.8726010087743914,0.922572944657993,0.9083264253406531,0.9118501530118417,0.8778435806562417,0.9004740666868111,0.890389296873925
RF_0,0.8491639240494243,0.9057845784320467,0.864641668450883,0.8977022467952663,0.8845574692007375,0.9020680295536216,0.9105202450682145
RF_1,0.872277758366578,0.8975790641988032,0.8923178645792461,0.9016017745742394,0.8991894784607847,0.8996272467640036,0.8932650214682258
RF_2,0.8651248034230408,0.8908394759679629,0.8895128434132292,0.8847696596755906,0.8767821193853185,0.8943293032753901,0.8920482840789264
RF_3,0.8179709648138126,0.8814880207254059,0.8808233216849795,0.8840736203780444,0.8743887371241987,0.915068018960357,0.8982604766880941
RF_4,0.8567160400473085,0.9064242937318902,0.9031068623521916,0.9195664510309586,0.9016209572236962,0.9137595356604024,0.9180647031010757
RF_5,0.8335039598525743,0.8791730934896794,0.8747704315886132,0.8739586176741999,0.8700259868678412,0.863494434445618,0.8794748510768771
RF_6,0.8459285197641483,0.9077948857627658,0.892692534509512,0.8987100202729215,0.8901286528133787,0.893592255099566,0.8984949647735077
RF_7,0.8339464261536483,0.8813903070191637,0.8803618311485378,0.882413713676709,0.882364113514381,0.8997028264727845,0.893129628002873
RF_8,0.8502583420251423,0.9007739368381769,0.9000319118620896,0.8928930348335958,0.8886917604803739,0.9021844045043758,0.885635620682768
RF_9,0.8280816776764154,0.8781344675650878,0.8777714251612152,0.8828060874103327,0.9022121419141063,0.90274228728107,0.9058413258124314
NB_0,0.6715479154537539,0.5248525442282054,0.7194519584930266,0.5410650667759279,0.6868344041013347,0.5573283887789486,0.5568516978455742
NB_1,0.6483856706435703,0.5172527481347136,0.7095919706768953,0.5249928419485852,0.680839211489784,0.5376037369993522,0.5384839880772937
