index,A,B,C,AB,AC,BC,ABC
DT_0,0.7493749029489406,0.8392808861981794,0.8236443557460355,0.8874594519899014,0.8192082459763227,0.8757354389466058,0.8952218736034259
DT_1,0.8120225455227231,0.861241953315858,0.7581377357601481,0.8902747808936939,0.8891984978247188,0.804781805151836,0.904382133755577
DT_2,0.785901043149384,0.8465927564910154,0.8465212813038901,0.8148334474419391,0.820377676721289,0.8403867359378444,0.8157060629431089
DT_3,0.7659360415992668,0.8038121966022872,0.801411020307402,0.8163320468195826,0.8754687547389809,0.8505895547361919,0.8466137758403344
DT_4,0.8121157530393104,0.8623947807779819,0.7966727706202174,0.860885915346456,0.8442945448246846,0.8574775911261758,0.8248335575211209
DT_5,0.804255486444657,0.7797144097549861,0.7911194322560354,0.8559191787776436,0.8608429084625951,0.8009184498172028,0.8655425091595704
DT_6,0.7551745882842121,0.8550005162543174,0.8270640367575507,0.8593072247008099,0.8342239158567063,0.8617173874998548,0.8278139197987668
DT_7,0.7760306431961733,0.8568523523286219,0.8107103532087473,0.8183448084779122,0.8096114029744704,0.889545686306984,0.8280288628118907
DT_8,0.8126247821899998,0.8788030931964967,0.8320619024756727,0.9057489214079134,0.8977672486532096,0.9135100691169002,0.8816643180910777
DT_9,0.7641925974119532,0.8439041648665796,0.8152702808887765,0.8507320904834534,0.8121566153168304,0.8295456527699859,0.8363352689157203
RF_0,0.7966604530257015,0.8781049523086648,0.8225944940430748,0.8667040254151237,0.8549048227209148,0.8791057327678856,0.8831783195364012
RF_1,0.8277764179807673,0.8720180853044944,0.858989325992951,0.8820231462260281,0.8768478979968429,0.8719141104896967,0.8595913188921869
RF_2,0.8178219888926203,0.8504909856235253,0.8468262757983552,0.8444920547564982,0.8371505580992183,0.8583027636832532,0.8538044069736467
RF_3,0.7143325870425782,0.8489521526176488,0.840607758254817,0.8449708325277627,0.82958415289605,0.8930802722924412,0.8663156177869479
RF_4,0.7577974558999228,0.8695088305744044,0.8588147479276511,0.8891400287713652,0.8574755340732784,0.8754456479778369,0.8904663947989474
RF_5,0.7488137476449469,0.8202683792815372,0.8274108602920208,0.8202703271631475,0.8188891339689075,0.7970815191451642,0.8260067954220314
RF_6,0.7794284785810209,0.8747791593592537,0.8544956930521105,0.8584281511723395,0.8534791665367045,0.8523330627978033,0.8620697970042229
RF_7,0.7671648549601152,0.8364748546081877,0.848554913433242,0.8467694242730214,0.8544903319961988,0.8812721260902,0.8725126014620116
RF_8,0.7874851315323378,0.8659495244099465,0.8694061608797452,0.8625284787049492,0.8550007289761387,0.8802410109894825,0.8444850158559837
RF_9,0.7506540417377341,0.8433602140426188,0.8355048313934454,0.8497986063062172,0.8769119695945253,0.8645512421563287,0.8855676031139025
NB_0,0.27793022252594013,0.05560740660861866,0.3282036289427519,0.10259280059412505,0.2883376181381772,0.13381245172282222,0.13271559891917334
NB_1,0.2561916153046407,0.05403511418084748,0.31157252196105495,0.07541371033845318,0.2790181196434481,0.09674172609033595,0.0988896018783329
NB_2,0.25928502570910117,0.0641102595023423,0.29337115629546245,0.0926990461628903,0.2605331345085908,0.11886046910162584,0.12085459582218443
NB_3,0.24199990470580668,0.05930556816872363,0.2907181547457323,0.08237045183083685,0.2623959214565292,0.10852162546835216,0.10852162546835216
NB_4,0.25080904679731236,0.08349042501050369,0.28490807161549464,0.09454258007224879,0.2695981886256917,0.14192188444621928,0.1367696991300095
NB_5,0.2793040658101886,0.053452990699684455,0.32108214059769796,0.10034665975007956,0.29769399777243005,0.1485125127524391,0.15089619560337486
NB_6,0.25949546381723565,0.059204209309299906,0.26999360578093434,0.06602564148459873,0.26039136787469824,0.12219205701999324,0.12193967782024562
NB_7,0.247671387929818,0.07730650305992025,0.27826893406558456,0.08550182012608941,0.25451635417587964,0.11164080186298275,0.10959854170308558
NB_8,0.2443762391443298,0.05860876334459549,0.29758952473100897,0.0816777681833837,0.2700005164292974,0.1292930877566852,0.1292930877566852
NB_9,0.25003808555418955,0.08477075682713288,0.3007630190198742,0.10019636200469247,0.2586733876347987,0.1343358656263424,0.13540391727151288
KNN_0,0.42785227723362024,0.4961694563954249,0.44400924294211547,0.4934587533148615,0.4764658345602397,0.47345169432267703,0.5197087129818238
KNN_1,0.42988538518560765,0.45562435377986216,0.38085649309071185,0.46668371831899336,0.442656366194403,0.44814044152759375,0.45228974295585217
KNN_2,0.4351685874808114,0.43836095712622053,0.40021692083322846,0.44350319448663716,0.4234355183472482,0.46856138756092386,0.48191855129262384
KNN_3,0.4323998524170223,0.3875752257074676,0.4038298547003012,0.3798022802441097,0.4167254163282188,0.4242868809124068,0.4282267228972674
KNN_4,0.41960557741457055,0.4371335068117617,0.45438280127239666,0.47185048917611466,0.4704884075577889,0.4843815181556874,0.49421357014814954
KNN_5,0.4443257601446818,0.442714539541875,0.40597986200299724,0.46076138764607727,0.4579403242599813,0.44867541947457923,0.458368132687966
KNN_6,0.42091518046638954,0.43508069923142395,0.405429898360417,0.4528051721462552,0.39297521367126803,0.4457019717107282,0.4546434604117863
KNN_7,0.42595491494574067,0.47490041011414186,0.3946620046620047,0.5196242464610441,0.4206309715422572,0.46694228304311475,0.48498560592124823
KNN_8,0.42855185297045767,0.4693063535330894,0.42314454495839016,0.4847946101977214,0.45964839193809115,0.49154501010502355,0.4961226438838379
KNN_9,0.4297778935681172,0.4718647377307334,0.36958020882495896,0.4776750720882296,0.3875874326338722,0.4636115097165925,0.48517574973795385
LR_0,0.3751356454623613,0.3457002706705479,0.4378162633807167,0.37110895637566205,0.4694314506814507,0.3968974379933284,0.40536086973405644
LR_1,0.37496840727563746,0.347638631723876,0.42123243607735134,0.3905567784297464,0.4534603327706776,0.36382704830435914,0.407574322929944
LR_2,0.35427666548431774,0.3607378358515627,0.4065847533159351,0.3413547786032744,0.4470899861794983,0.3806046867059563,0.35272003538257407
LR_3,0.3841750968541582,0.3581724490155563,0.4201718846731624,0.35968897863464,0.4721997403666156,0.36794940289925865,0.4116023009661119
LR_4,0.38526561926444325,0.31108478489256186,0.43498995557819087,0.35348489036299974,0.4511410000430809,0.39194546715706946,0.3928651038753657
LR_5,0.38973921065369366,0.37240236821582967,0.4387867791797817,0.37451112999770814,0.47941720873658045,0.3856358889838276,0.40704799863282143
LR_6,0.3757808990375863,0.3265564244443377,0.4159716392299108,0.36841784194976196,0.4541576172676565,0.3877960841926107,0.4297001988836753
LR_7,0.38259040258806615,0.34200144931852244,0.4349559736969997,0.38621892241078287,0.4694619352080593,0.3795446851518396,0.41623048772885607
LR_8,0.37292247713300347,0.31569000278463216,0.4361204151210005,0.32789313547195453,0.4796873156315897,0.3474294364222132,0.3687613719806193
LR_9,0.3921780274165143,0.3268854540158888,0.4240826836571517,0.362892464678179,0.4700813273556323,0.3927358906525573,0.42116278277642677
