index,A,B,C,AB,AC,BC,ABC
DT_0,0.9444444444444444,0.9375,0.9479166666666666,0.9375,0.9270833333333334,0.9444444444444444,0.9270833333333334
DT_1,0.9340277777777778,0.9513888888888888,0.9375,0.9270833333333334,0.9201388888888888,0.9444444444444444,0.9444444444444444
DT_2,0.9131944444444444,0.9375,0.9166666666666666,0.9409722222222222,0.9444444444444444,0.9583333333333334,0.9409722222222222
DT_3,0.8923611111111112,0.9756944444444444,0.9270833333333334,0.9444444444444444,0.9409722222222222,0.9409722222222222,0.9479166666666666
DT_4,0.9027777777777778,0.9444444444444444,0.9340277777777778,0.9236111111111112,0.9236111111111112,0.9444444444444444,0.9340277777777778
DT_5,0.9270833333333334,0.9479166666666666,0.9583333333333334,0.9409722222222222,0.9340277777777778,0.9444444444444444,0.9548611111111112
DT_6,0.8993055555555556,0.9305555555555556,0.9618055555555556,0.9375,0.9444444444444444,0.9513888888888888,0.9375
DT_7,0.9097222222222222,0.9375,0.9409722222222222,0.9305555555555556,0.9375,0.9340277777777778,0.9166666666666666
DT_8,0.9097222222222222,0.9583333333333334,0.9375,0.9340277777777778,0.9375,0.9340277777777778,0.9444444444444444
DT_9,0.9097222222222222,0.9409722222222222,0.9409722222222222,0.9340277777777778,0.9479166666666666,0.9409722222222222,0.9375
RF_0,0.9409722222222222,0.9618055555555556,0.9513888888888888,0.96875,0.9513888888888888,0.9652777777777778,0.9652777777777778
RF_1,0.9270833333333334,0.9548611111111112,0.9652777777777778,0.9618055555555556,0.9548611111111112,0.9618055555555556,0.9618055555555556
RF_2,0.9201388888888888,0.9583333333333334,0.9340277777777778,0.9444444444444444,0.9479166666666666,0.9444444444444444,0.9444444444444444
RF_3,0.9270833333333334,0.9618055555555556,0.9479166666666666,0.9618055555555556,0.9340277777777778,0.9444444444444444,0.9444444444444444
RF_4,0.9375,0.9756944444444444,0.9409722222222222,0.9548611111111112,0.9444444444444444,0.9479166666666666,0.96875
RF_5,0.9444444444444444,0.96875,0.9618055555555556,0.9722222222222222,0.9513888888888888,0.96875,0.9722222222222222
