index,A,B,C,AB,AC,BC,ABC
DT_0,0.8077752482728309,0.7234960840913713,0.8160062785502988,0.7791238216688139,0.8253597559231208,0.7226241465545579,0.6947558281247719
DT_1,0.7539047619047619,0.8348034188034188,0.8333304877836675,0.7350083956852894,0.7701345291479821,0.8047936507936508,0.7855407077456076
DT_2,0.668482269227668,0.7099562864618035,0.7855969265584296,0.7628909486987914,0.8260471916968403,0.8774027549820975,0.7581930774755887
DT_3,0.6726270221007062,0.9315248768891152,0.7770432730449172,0.8130701754385965,0.8028760000518667,0.6945421245421246,0.7753647482461041
DT_4,0.7299782037486956,0.8017682015385177,0.7762614109289226,0.7520326667867651,0.7315075806107196,0.7390279389749541,0.7106634727061557
DT_5,0.793483176714884,0.8382932828184548,0.863707895582737,0.8114710062251046,0.7535324569862457,0.8394245371666104,0.8587448371809921
DT_6,0.6721423880557008,0.7473015873015874,0.9009052408753557,0.7232959024317692,0.7726384298527484,0.7621837512081415,0.7335155527083778
DT_7,0.7998298633081242,0.7203448661963946,0.8254434899423764,0.778649742685811,0.8151401117714677,0.7939871188258769,0.7662127989728973
DT_8,0.6994519808328271,0.8358304414883362,0.8122242444924735,0.7849581608216157,0.8439514561805582,0.7085684107397276,0.7905539105943524
DT_9,0.719693689006052,0.8043784636926106,0.8711006224775977,0.7955944310402517,0.8672966968564493,0.8167804604046216,0.8230176343847384
RF_0,0.7479785189582138,0.8152406404323755,0.7983000820498136,0.8772707620248605,0.8169912170084732,0.7903032171970535,0.87294569982228
RF_1,0.619327192918964,0.7463432424258597,0.8677802527920544,0.8414948306391729,0.7805308352849336,0.7976521986601133,0.8757646236234533
RF_2,0.6721006940529717,0.8088331522991343,0.6608899883270135,0.7473382324566034,0.6862026910230146,0.6405674293067193,0.7350387069841666
RF_3,0.6935118644796064,0.8642545907251791,0.8507401095636389,0.8843112477784094,0.7731123612468515,0.7930434782608695,0.8224503298739106
RF_4,0.7769141727837381,0.9079165180348548,0.7538827838827838,0.8033872459312787,0.830463858900884,0.8200694267747446,0.8879682758931059
RF_5,0.6645320197044334,0.8965072000378755,0.809250150474837,0.9020773912808288,0.8009433846931163,0.8996259743800726,0.918926825259871
RF_6,0.7043313323549203,0.7300795100462019,0.7366906444679986,0.7210046716977259,0.7696367949231384,0.7416412252842945,0.7361403338861785
RF_7,0.7543228751924405,0.8766016927191993,0.8284772765078277,0.879683088476922,0.8089313236854221,0.8903797533045834,0.8887538318006131
RF_8,0.6889318331941283,0.8001662329857057,0.786287763956222,0.7589723937264921,0.7793815923291735,0.7990140179779912,0.7668602687372579
RF_9,0.6976936760352548,0.891873915558126,0.8726373626373627,0.8373901451565121,0.7912675777381659,0.9243430171293199,0.8353390645219647
NB_0,0.14565363344288026,0.26726671951188935,0.31792305429735823,0.27501403573180644,0.335540882178389,0.31884621099522736,0.34335828759940834
NB_1,0.2044080287479598,0.2718465148378192,0.32502414527377416,0.2708286189276955,0.34882537959348037,0.3126947562241679,0.34510074612133645
NB_2,0.17100509152359655,0.22966057726943387,0.2845589873027495,0.23267004099205754,0.31387911421934456,0.2822736683606249,0.30423424178561165
NB_3,0.17678383032720021,0.23993774678504817,0.29060150375939847,0.2676940227254692,0.309311954366572,0.2766639164534449,0.33943132560073924
NB_4,0.22036758813863927,0.2863407139731894,0.2863988095238095,0.29219654652285254,0.3432434792098658,0.3184471410941999,0.3369773113279638
NB_5,0.21414159202804042,0.28153433208489387,0.3282681898984131,0.2621587750273392,0.3037434615285819,0.3188709677419355,0.3409954262069918
NB_6,0.14031584561246616,0.23444139097989725,0.2712315020947203,0.22197594764523898,0.29760997961351243,0.2620353055956771,0.29428831763111274
NB_7,0.13694917937832823,0.16662802134751645,0.2675820411472586,0.154445484594226,0.24746607105548302,0.22218310019866955,0.22869620500701093
NB_8,0.1757930574112659,0.2714313205043132,0.3007593718403144,0.2364811202955533,0.33059029475809887,0.29992851038885976,0.30852720119386784
NB_9,0.2209477824447626,0.2763315727957672,0.28415695415695413,0.248912964969303,0.3368174460900379,0.31269750757462844,0.346013663354224
KNN_0,0.32121230422353747,0.273075062047294,0.37044376278118607,0.2872178319816924,0.3033062330623307,0.289405684754522,0.33480214455824214
KNN_1,0.3143231083844581,0.3322432104624796,0.33941822127624055,0.339585548738923,0.32751174596709676,0.33963773378379797,0.35781895937277264
KNN_2,0.28836490851895213,0.3335080355454717,0.3192521386365641,0.3684375461936437,0.29207573632538575,0.28776294128406804,0.27600358422939064
KNN_3,0.3374829790253284,0.42109671084928824,0.43793665111723923,0.43465789794178544,0.34779174101208,0.34263518401449433,0.33824284030233687
KNN_4,0.31947563450831423,0.3783313325330132,0.40413894639981596,0.3898537870235984,0.32299465240641706,0.33658212058212056,0.3213417598444336
KNN_5,0.3294777562862669,0.3718850444318397,0.3522226345083488,0.39011047754811123,0.33510337905654064,0.33575865128660165,0.325602019949084
KNN_6,0.2868205414217684,0.29636282244977896,0.31449332115041556,0.2931693851100001,0.3264712565326063,0.33165023531062277,0.30302888368462144
KNN_7,0.35682379448429213,0.38085793851317706,0.3235593255065872,0.39144489351207695,0.37308049823387246,0.38099773242630386,0.3735856345812489
KNN_8,0.31913968957871397,0.4422682755957446,0.4205990338164252,0.4878081514445151,0.37018633540372675,0.40538668012571977,0.39676923076923076
KNN_9,0.33934487105058075,0.38215917149029505,0.5181300231432779,0.4125386966380756,0.43011909936865483,0.41117202434997147,0.4492922616999967
LR_0,0.358008658008658,0.45582582123758597,0.4918638149279791,0.5626627045271113,0.5010191082802548,0.54775932679484,0.6372157666894509
LR_1,0.4013931446974925,0.5014077062178328,0.4874355035645358,0.48907460882487924,0.4918682965363911,0.583729078959116,0.5876890534108937
