dataset,num,iter,time
blob,0,0,0.5383760929107666
blob,0,1,0.698627233505249
blob,0,2,0.5370321273803711
blob,0,3,0.5371458530426025
blob,0,4,0.5361068248748779
blob,1,0,0.6882381439208984
blob,1,1,0.5413742065429688
blob,1,2,0.5408902168273926
blob,1,3,0.5327427387237549
blob,1,4,0.5499475002288818
blob,2,0,0.6303219795227051
blob,2,1,0.6274213790893555
blob,2,2,0.7319738864898682
blob,2,3,0.6184921264648438
blob,2,4,0.6083199977874756
blob,3,0,0.7141263484954834
blob,3,1,0.603748083114624
blob,3,2,0.5895442962646484
blob,3,3,0.5948953628540039
blob,3,4,0.6048974990844727
blob,4,0,0.6007442474365234
blob,4,1,0.609872579574585
blob,4,2,0.630347490310669
blob,4,3,0.6139061450958252
blob,4,4,0.6133596897125244
blob,5,0,0.5819239616394043
blob,5,1,0.47800421714782715
blob,5,2,0.4846489429473877
blob,5,3,0.49226999282836914
blob,5,4,0.48004746437072754
blob,6,0,0.7298481464385986
blob,6,1,0.7474257946014404
blob,6,2,0.7327260971069336
blob,6,3,0.7278573513031006
blob,6,4,0.8572454452514648
blob,7,0,0.4877493381500244
blob,7,1,0.5051181316375732
blob,7,2,0.4912993907928467
blob,7,3,0.4879567623138428
blob,7,4,0.4782094955444336
blob,8,0,0.7304739952087402
blob,8,1,0.8305840492248535
blob,8,2,0.7382190227508545
blob,8,3,0.739262580871582
blob,8,4,0.7383594512939453
blob,9,0,0.5493950843811035
blob,9,1,0.5591259002685547
blob,9,2,0.6689410209655762
blob,9,3,0.5600779056549072
blob,9,4,0.5374758243560791
blob,10,0,0.5777747631072998
blob,10,1,0.602433443069458
blob,10,2,0.6049046516418457
blob,10,3,0.6069390773773193
blob,10,4,0.761113166809082
blob,11,0,0.5305097103118896
blob,11,1,0.5706651210784912
blob,11,2,0.536531925201416
blob,11,3,0.5640308856964111
blob,11,4,0.5281527042388916
blob,12,0,1.7683026790618896
blob,12,1,1.7333166599273682
blob,12,2,1.7336432933807373
blob,12,3,1.7443172931671143
blob,12,4,1.6474754810333252
blob,13,0,1.3269987106323242
blob,13,1,1.4490976333618164
blob,13,2,1.4250197410583496
blob,13,3,1.3668200969696045
blob,13,4,1.3404269218444824
blob,14,0,1.3194491863250732
blob,14,1,1.167245626449585
blob,14,2,1.1947991847991943
blob,14,3,1.17230224609375
blob,14,4,1.1848549842834473
blob,15,0,1.2937378883361816
blob,15,1,1.1689293384552002
blob,15,2,1.1644749641418457
blob,15,3,1.3148043155670166
blob,15,4,1.1848516464233398
blob,16,0,1.1614713668823242
blob,16,1,1.1873095035552979
blob,16,2,1.1491272449493408
blob,16,3,1.271449089050293
blob,16,4,1.1369190216064453
blob,17,0,1.6985905170440674
blob,17,1,1.6540966033935547
blob,17,2,1.661177635192871
blob,17,3,1.8021502494812012
blob,17,4,1.7220098972320557
blob,18,0,0.72646164894104
blob,18,1,0.7198381423950195
blob,18,2,0.7103078365325928
blob,18,3,0.7648122310638428
blob,18,4,0.8124935626983643
blob,19,0,0.675422191619873
blob,19,1,0.6063129901885986
blob,19,2,0.7067101001739502
blob,19,3,0.6115820407867432
blob,19,4,0.6308474540710449
blob,20,0,1.413956880569458
blob,20,1,1.5297303199768066
blob,20,2,1.4691746234893799
blob,20,3,1.4017219543457031
blob,20,4,1.3870832920074463
blob,21,0,0.9523105621337891
blob,21,1,1.0135009288787842
blob,21,2,0.9754340648651123
blob,21,3,0.964684247970581
blob,21,4,0.9567091464996338
blob,22,0,1.2416610717773438
blob,22,1,1.2430307865142822
blob,22,2,1.3782119750976562
blob,22,3,1.2505156993865967
blob,22,4,1.2819583415985107
blob,23,0,1.318587303161621
blob,23,1,1.162818193435669
blob,23,2,1.2059080600738525
blob,23,3,1.3667330741882324
blob,23,4,1.1690540313720703
blob,24,0,0.8152391910552979
blob,24,1,0.7101311683654785
blob,24,2,0.7417581081390381
blob,24,3,0.8614253997802734
blob,24,4,0.7236447334289551
blob,25,0,0.7255942821502686
blob,25,1,0.7106022834777832
blob,25,2,0.7134604454040527
blob,25,3,0.824699878692627
blob,25,4,0.7466340065002441
blob,26,0,1.2629265785217285
blob,26,1,1.2066919803619385
blob,26,2,1.2715208530426025
blob,26,3,1.171879529953003
blob,26,4,1.1945428848266602
blob,27,0,0.7238099575042725
blob,27,1,0.7153666019439697
blob,27,2,0.7632215023040771
blob,27,3,0.8112061023712158
blob,27,4,0.7220022678375244
blob,28,0,0.7004144191741943
blob,28,1,0.6915223598480225
blob,28,2,0.7208507061004639
blob,28,3,0.702479362487793
blob,28,4,0.7141907215118408
blob,29,0,0.93290114402771
blob,29,1,0.9560980796813965
blob,29,2,0.9251856803894043
blob,29,3,0.9450922012329102
blob,29,4,0.9259231090545654
blob,30,0,1.5509140491485596
blob,30,1,1.5157763957977295
blob,30,2,1.5454142093658447
blob,30,3,1.3921728134155273
blob,30,4,1.393958568572998
blob,31,0,1.3980109691619873
blob,31,1,1.527958869934082
blob,31,2,1.3935763835906982
blob,31,3,1.3984401226043701
blob,31,4,1.4377808570861816
blob,32,0,1.3291738033294678
blob,32,1,1.274812936782837
blob,32,2,1.181436538696289
blob,32,3,1.151494026184082
blob,32,4,1.1816141605377197
blob,33,0,1.6324231624603271
blob,33,1,1.7798686027526855
blob,33,2,1.7604503631591797
blob,33,3,1.7653939723968506
blob,33,4,1.76179838180542
blob,34,0,1.4149162769317627
blob,34,1,1.4256951808929443
blob,34,2,1.5520472526550293
blob,34,3,1.5227696895599365
blob,34,4,1.4091336727142334
blob,35,0,0.7348501682281494
blob,35,1,0.7555336952209473
blob,35,2,0.8272795677185059
blob,35,3,0.722074031829834
blob,35,4,0.7340786457061768
blob,36,0,0.8272585868835449
blob,36,1,0.7149467468261719
blob,36,2,0.7007524967193604
blob,36,3,0.7146902084350586
blob,36,4,0.7081267833709717
blob,37,0,1.722618579864502
blob,37,1,1.8048179149627686
blob,37,2,1.7754619121551514
blob,37,3,1.7267615795135498
blob,37,4,1.7382311820983887
blob,38,0,1.7525229454040527
blob,38,1,1.662137746810913
blob,38,2,1.6562392711639404
blob,38,3,1.71409010887146
blob,38,4,1.6557140350341797
