dataset,num,iter,time
cifar10,0,0,7.165148735046387
cifar10,0,1,7.012116432189941
cifar10,0,2,7.30080771446228
cifar10,0,3,7.078435897827148
cifar10,0,4,7.4967710971832275
cifar10,1,0,9.553823232650757
cifar10,1,1,9.814167022705078
cifar10,1,2,9.828080177307129
cifar10,1,3,9.99861764907837
cifar10,1,4,9.530583381652832
cifar10,2,0,9.883986234664917
cifar10,2,1,9.719765186309814
cifar10,2,2,9.806984663009644
cifar10,2,3,9.606139421463013
cifar10,2,4,9.712752342224121
cifar10,3,0,7.789584398269653
cifar10,3,1,7.397541761398315
cifar10,3,2,7.560771465301514
cifar10,3,3,7.87896203994751
cifar10,3,4,7.542742729187012
cifar10,4,0,8.150271892547607
cifar10,4,1,8.212412118911743
cifar10,4,2,8.234067440032959
cifar10,4,3,8.141752481460571
cifar10,4,4,8.489149570465088
cifar10,5,0,9.390679836273193
cifar10,5,1,9.594571113586426
cifar10,5,2,9.382386684417725
cifar10,5,3,9.727237462997437
cifar10,5,4,9.240252017974854
cifar10,6,0,7.524515151977539
cifar10,6,1,7.534461498260498
cifar10,6,2,7.579020261764526
cifar10,6,3,7.595208644866943
cifar10,6,4,7.553107500076294
cifar10,7,0,7.097573757171631
cifar10,7,1,7.1690967082977295
cifar10,7,2,7.434760808944702
cifar10,7,3,7.176842927932739
cifar10,7,4,7.377398252487183
cifar10,8,0,6.635016918182373
cifar10,8,1,6.793327331542969
cifar10,8,2,6.862812042236328
cifar10,8,3,7.196691513061523
cifar10,8,4,6.811584711074829
cifar10,9,0,10.070992231369019
cifar10,9,1,10.47442364692688
cifar10,9,2,9.630567073822021
cifar10,9,3,9.756239414215088
cifar10,9,4,10.240838766098022
cifar10,10,0,6.873310804367065
cifar10,10,1,6.795997619628906
cifar10,10,2,6.918197154998779
cifar10,10,3,6.650453805923462
cifar10,10,4,6.775269985198975
cifar10,11,0,8.125351905822754
cifar10,11,1,8.271183013916016
cifar10,11,2,8.150508165359497
cifar10,11,3,7.818323612213135
cifar10,11,4,7.957098722457886
cifar10,12,0,9.219638347625732
cifar10,12,1,9.075838804244995
cifar10,12,2,9.125685691833496
cifar10,12,3,9.316745042800903
cifar10,12,4,8.753002643585205
cifar10,13,0,6.880137920379639
cifar10,13,1,6.8843982219696045
cifar10,13,2,6.748229026794434
cifar10,13,3,6.666093349456787
cifar10,13,4,6.810444116592407
cifar10,14,0,8.856821775436401
cifar10,14,1,9.01479721069336
cifar10,14,2,8.909042119979858
cifar10,14,3,8.738705158233643
cifar10,14,4,8.467417001724243
cifar10,15,0,7.212606191635132
cifar10,15,1,6.859468698501587
cifar10,15,2,7.531753301620483
cifar10,15,3,6.881588697433472
cifar10,15,4,6.93264365196228
cifar10,16,0,8.406643390655518
cifar10,16,1,8.835493564605713
cifar10,16,2,8.750211715698242
cifar10,16,3,9.31317949295044
cifar10,16,4,8.861056804656982
cifar10,17,0,7.043292999267578
cifar10,17,1,7.3944549560546875
cifar10,17,2,6.926472187042236
cifar10,17,3,7.110854387283325
cifar10,17,4,7.1928699016571045
cifar10,18,0,9.326598405838013
