dataset,num,iter,time
imdb,0,0,1174.8662860393524
imdb,0,1,1170.857238292694
imdb,0,2,1167.2795157432556
imdb,0,3,1172.934336900711
imdb,0,4,1185.1811628341675
imdb,1,0,1182.347937822342
imdb,1,1,1173.5465099811554
imdb,1,2,1164.9130535125732
imdb,1,3,1185.8978621959686
imdb,1,4,1185.7568278312683
imdb,2,0,1195.0760836601257
imdb,2,1,1175.9330716133118
imdb,2,2,1170.9837679862976
imdb,2,3,1172.1278946399689
imdb,2,4,1174.914056777954
imdb,3,0,1165.1295697689056
imdb,3,1,1164.5907595157623
imdb,3,2,1180.4017131328583
imdb,3,3,1166.49706697464
imdb,3,4,1164.8972573280334
imdb,4,0,1160.88813996315
imdb,4,1,1164.9634490013123
imdb,4,2,1163.5240058898926
imdb,4,3,1159.3831346035004
imdb,4,4,1163.3466713428497
imdb,5,0,1162.1661269664764
imdb,5,1,1160.622854232788
imdb,5,2,1151.7735979557037
imdb,5,3,1152.8457486629486
imdb,5,4,1152.6792323589325
imdb,6,0,1152.6933345794678
imdb,6,1,1148.5395414829254
imdb,6,2,1150.74502825737
imdb,6,3,1151.9724380970001
imdb,6,4,1153.9663982391357
imdb,7,0,1165.7404181957245
imdb,7,1,1164.5276861190796
imdb,7,2,1163.434645652771
imdb,7,3,1163.7037603855133
imdb,7,4,1158.06765127182
imdb,8,0,1162.785478591919
imdb,8,1,1162.473584651947
imdb,8,2,1162.380205631256
imdb,8,3,1161.5383150577545
imdb,8,4,1163.375916481018
imdb,9,0,1154.096408367157
imdb,9,1,1154.761803150177
imdb,9,2,1154.5822069644928
imdb,9,3,1153.9806756973267
imdb,9,4,1154.9460513591766
imdb,10,0,1154.7410035133362
imdb,10,1,1153.0550706386566
imdb,10,2,1152.52969956398
imdb,10,3,1153.0400030612946
imdb,10,4,1154.453989982605
imdb,11,0,1156.9841935634613
imdb,11,1,1154.8938915729523
imdb,11,2,1153.8321332931519
imdb,11,3,1154.925414800644
imdb,11,4,1152.3258311748505
imdb,12,0,1153.4563164710999
imdb,12,1,1148.9898097515106
imdb,12,2,1150.2595307826996
imdb,12,3,1173.1760110855103
imdb,12,4,1185.5264222621918
