dataset,num,iter,time
reuters,0,0,177.0858438014984
reuters,0,1,170.74654054641724
reuters,0,2,168.1429877281189
reuters,0,3,167.41181087493896
reuters,0,4,167.45167469978333
reuters,1,0,166.49654531478882
reuters,1,1,166.39179015159607
reuters,1,2,161.73884654045105
reuters,1,3,165.77918648719788
reuters,1,4,157.24774074554443
reuters,2,0,163.91229724884033
reuters,2,1,165.10774040222168
reuters,2,2,165.62485933303833
reuters,2,3,161.14728426933289
reuters,2,4,164.5855851173401
reuters,3,0,164.1135082244873
reuters,3,1,165.51986622810364
reuters,3,2,161.49443101882935
reuters,3,3,160.9861707687378
reuters,3,4,163.85602521896362
reuters,4,0,161.28279876708984
reuters,4,1,160.70003151893616
reuters,4,2,160.9033145904541
reuters,4,3,165.4230980873108
reuters,4,4,163.14669585227966
reuters,5,0,164.01760864257812
reuters,5,1,162.02547764778137
reuters,5,2,164.56561875343323
reuters,5,3,164.2119071483612
reuters,5,4,165.35725498199463
reuters,6,0,158.67658233642578
reuters,6,1,165.12048816680908
reuters,6,2,164.77572560310364
reuters,6,3,166.03758311271667
reuters,6,4,165.70625042915344
reuters,7,0,165.19007921218872
reuters,7,1,164.67915868759155
reuters,7,2,159.25396084785461
reuters,7,3,157.48172974586487
reuters,7,4,160.90874218940735
reuters,8,0,163.49716711044312
reuters,8,1,159.77356934547424
reuters,8,2,164.5903332233429
reuters,8,3,164.75702023506165
reuters,8,4,164.13010787963867
reuters,9,0,164.27654695510864
reuters,9,1,164.38802337646484
reuters,9,2,165.57830023765564
reuters,9,3,165.70434880256653
reuters,9,4,166.01252126693726
reuters,10,0,163.35745644569397
reuters,10,1,163.76487684249878
reuters,10,2,163.98709344863892
reuters,10,3,164.5745005607605
reuters,10,4,165.65861058235168
reuters,11,0,164.37231278419495
reuters,11,1,165.02363109588623
reuters,11,2,164.64471578598022
reuters,11,3,164.57349681854248
reuters,11,4,164.46624875068665
reuters,12,0,164.80943846702576
reuters,12,1,165.2972331047058
reuters,12,2,164.47699403762817
reuters,12,3,163.7488090991974
reuters,12,4,164.56037425994873
reuters,13,0,165.10259675979614
reuters,13,1,165.24155926704407
reuters,13,2,163.91363215446472
reuters,13,3,168.23653721809387
reuters,13,4,164.79429292678833
reuters,14,0,166.39830231666565
reuters,14,1,164.61805057525635
reuters,14,2,164.78548121452332
reuters,14,3,164.76134538650513
reuters,14,4,164.011736869812
reuters,15,0,164.94132375717163
reuters,15,1,165.71766209602356
reuters,15,2,166.0677366256714
reuters,15,3,165.12457132339478
reuters,15,4,164.27905941009521
reuters,16,0,167.51577854156494
reuters,16,1,167.34492087364197
reuters,16,2,167.04317212104797
reuters,16,3,166.67066168785095
reuters,16,4,166.92041778564453
reuters,17,0,165.32317566871643
reuters,17,1,165.64820861816406
reuters,17,2,166.02325439453125
reuters,17,3,165.8593544960022
reuters,17,4,165.70303463935852
reuters,18,0,167.12536644935608
reuters,18,1,166.19324111938477
reuters,18,2,165.10329413414001
reuters,18,3,164.9257709980011
reuters,18,4,165.806889295578
reuters,19,0,170.86421132087708
reuters,19,1,166.43201303482056
reuters,19,2,165.04496026039124
reuters,19,3,166.35610938072205
reuters,19,4,166.81732559204102
reuters,20,0,165.20677757263184
reuters,20,1,167.3214795589447
reuters,20,2,165.64844155311584
reuters,20,3,165.63067936897278
reuters,20,4,166.12560892105103
reuters,21,0,164.7792193889618
reuters,21,1,164.34132027626038
reuters,21,2,163.9247329235077
reuters,21,3,165.15362215042114
reuters,21,4,165.14559936523438
reuters,22,0,165.74445295333862
reuters,22,1,165.68929171562195
reuters,22,2,166.6073887348175
reuters,22,3,166.35961151123047
reuters,22,4,165.0348448753357
reuters,23,0,167.66885042190552
reuters,23,1,168.64707326889038
reuters,23,2,165.24296832084656
reuters,23,3,166.31846833229065
reuters,23,4,166.27866744995117
reuters,24,0,165.78535151481628
reuters,24,1,164.48150038719177
reuters,24,2,164.0436360836029
reuters,24,3,158.86069560050964
reuters,24,4,165.51868176460266
reuters,25,0,167.07193613052368
reuters,25,1,166.4233934879303
reuters,25,2,168.38326382637024
reuters,25,3,165.43231797218323
reuters,25,4,167.15308260917664
reuters,26,0,166.09676504135132
reuters,26,1,165.86996245384216
reuters,26,2,164.33136653900146
reuters,26,3,164.67830777168274
reuters,26,4,163.8210370540619
reuters,27,0,165.87382531166077
reuters,27,1,166.10700345039368
reuters,27,2,164.3275294303894
reuters,27,3,165.30306029319763
reuters,27,4,165.07729482650757
reuters,28,0,166.14913034439087
reuters,28,1,165.69345331192017
reuters,28,2,163.73094606399536
reuters,28,3,157.31286525726318
reuters,28,4,164.81725239753723
reuters,29,0,618.092985868454
reuters,29,1,606.3893384933472
reuters,29,2,606.340961933136
reuters,29,3,592.3419315814972
reuters,29,4,604.681449174881
reuters,30,0,165.7969353199005
reuters,30,1,165.124027967453
reuters,30,2,166.55556297302246
reuters,30,3,166.68021750450134
reuters,30,4,163.72920036315918
reuters,31,0,161.63477087020874
reuters,31,1,163.66060256958008
reuters,31,2,164.81223559379578
reuters,31,3,165.73369240760803
reuters,31,4,163.14797472953796
