dataset,num,time
cifar10,0,425.8580861091614
cifar10,1,534.2892858982086
cifar10,2,535.438802242279
cifar10,3,323.88192653656006
cifar10,4,747.0938436985016
cifar10,5,751.4802000522614
cifar10,6,318.44501066207886
cifar10,7,243.16547465324402
cifar10,8,253.98132419586182
cifar10,9,534.7108745574951
cifar10,10,231.28198742866516
cifar10,11,818.4726617336273
cifar10,12,412.8585741519928
cifar10,13,185.02339911460876
cifar10,14,384.00889348983765
cifar10,15,255.99632668495178
cifar10,16,373.10638546943665
cifar10,17,264.93722343444824
cifar10,18,472.69605445861816
cifar10,19,507.0889663696289
cifar10,20,421.87182688713074
cifar10,21,262.85497999191284
cifar10,22,276.98404026031494
cifar10,23,246.0673897266388
cifar10,24,408.4022877216339
cifar10,25,390.9990928173065
cifar10,26,244.3730685710907
cifar10,27,245.73846673965454
cifar10,28,236.63563227653503
cifar10,29,391.1839199066162
cifar10,30,328.28087282180786
cifar10,31,376.4862051010132
cifar10,32,253.62739777565002
cifar10,33,287.7164378166199
cifar10,34,280.7880573272705
