dataset,num,time
mnist,0,300.1770782470703
mnist,1,261.19188499450684
mnist,2,775.9176354408264
mnist,3,328.6849012374878
mnist,4,162.66741180419922
mnist,5,325.7863392829895
mnist,6,1127.5218172073364
mnist,7,318.95478868484497
mnist,8,232.13859105110168
mnist,9,778.4688382148743
mnist,10,158.27970719337463
mnist,11,324.25580167770386
mnist,12,234.49632835388184
mnist,13,691.5843367576599
mnist,14,314.3160779476166
mnist,15,224.78735327720642
mnist,16,326.65250158309937
mnist,17,322.6015703678131
mnist,18,159.22296404838562
mnist,19,319.8057746887207
mnist,20,543.0133428573608
mnist,21,323.6054232120514
mnist,22,322.653612613678
mnist,23,332.6303279399872
mnist,24,772.8294763565063
mnist,25,321.91689014434814
mnist,26,284.1935272216797
mnist,27,233.62304973602295
mnist,28,322.9700062274933
mnist,29,320.3313043117523
mnist,30,320.18423199653625
mnist,31,322.352637052536
mnist,32,276.4489071369171
mnist,33,308.3074185848236
mnist,34,442.9607710838318
mnist,35,450.78434896469116
mnist,36,411.33132886886597
mnist,37,338.38305163383484
mnist,38,391.675457239151
mnist,39,397.2807414531708
mnist,40,325.975576877594
mnist,41,472.2922031879425
mnist,42,303.5552728176117
mnist,43,673.4811155796051
mnist,44,467.8987658023834
mnist,45,448.76190280914307
mnist,46,251.83970999717712
mnist,47,949.5279924869537
mnist,48,434.9532310962677
mnist,49,859.9592027664185
mnist,50,355.40744495391846
mnist,51,357.8500576019287
mnist,52,451.8543221950531
mnist,53,357.0321707725525
mnist,54,401.9100601673126
mnist,55,877.955641746521
mnist,56,344.48763132095337
mnist,57,270.97182178497314
mnist,58,277.232280254364
mnist,59,247.93009519577026
mnist,60,223.29945850372314
mnist,61,308.9133896827698
mnist,62,250.71855306625366
mnist,63,227.2596755027771
mnist,64,336.78439831733704
mnist,65,227.2119596004486
mnist,66,330.16873383522034
mnist,67,292.53630232810974
mnist,68,284.2699451446533
mnist,69,284.16612935066223
mnist,70,335.80852222442627
mnist,71,227.6885952949524
mnist,72,227.68304538726807
mnist,73,317.6730134487152
mnist,74,225.32303977012634
mnist,75,271.27104139328003
mnist,76,316.10271739959717
mnist,77,226.6845245361328
