dataset,num,time
reuters,0,4138.587798
reuters,1,2074.681744
reuters,2,4131.979136
reuters,3,4135.932267
reuters,4,4172.306822
reuters,5,1375.590293
reuters,6,4273.450183
reuters,7,4115.190528
reuters,8,4132.117313
reuters,9,4160.21042
reuters,10,4117.335984
reuters,11,4148.33567
reuters,12,4149.257953
reuters,13,4313.043396
reuters,14,4109.266929
reuters,15,4104.485618
reuters,16,4118.852627
reuters,17,4115.174324
reuters,18,4152.932386
reuters,19,2752.87429
reuters,20,2754.657476
reuters,21,4124.696471
reuters,22,4138.487703
reuters,23,2762.087412
reuters,24,4134.217378
reuters,25,2760.594135
reuters,26,2750.55334
reuters,27,2761.569251
reuters,28,2937.44975
reuters,29,10374.81155
reuters,30,2796.761343
reuters,31,2735.171692
